Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),Opening Gap,Close - Open,WeekDay,Abs(Diff),Distance from Median,
30-Sep-2019,11491.15,11508.25,11390.8,11474.45,756848686,23748.07,,,2,,,
01-Oct-2019,11515.4,11554.2,11247.9,11359.9,1305415159,28972.72,,,3,,,
03-Oct-2019,11322.25,11370.4,11257.35,11314,1017479514,21658.38,-38,-8,5,8,,
04-Oct-2019,11388.45,11400.3,11158.35,11174.75,928524450,22470.76,,,6,,,
07-Oct-2019,11196.2,11233.85,11112.65,11126.4,733198763,18641.37,,,2,,,
09-Oct-2019,11152.95,11321.6,11090.15,11313.3,741148639,20961.54,,,4,,,
10-Oct-2019,11280.5,11293.35,11208.55,11234.55,562017945,19234.31,-33,-46,5,46,,
11-Oct-2019,11257.7,11362.9,11189.4,11305.05,737795150,22511.39,,,6,,,
14-Oct-2019,11335.9,11420.45,11290.05,11341.15,587579191,17499.48,,,2,,,
15-Oct-2019,11360.85,11462.35,11342.1,11428.3,527396180,17041.55,,,3,,,
16-Oct-2019,11464.95,11481.05,11411.1,11464,533468525,18266.06,,,4,,,
17-Oct-2019,11466.3,11599.1,11439.65,11586.35,797572398,20839.2,2,120,5,120,,
18-Oct-2019,11580.3,11684.7,11553.15,11661.85,853440208,22315.99,,,6,,,
22-Oct-2019,11657.15,11714.35,11573.65,11588.35,867601307,29726.27,,,3,,,
23-Oct-2019,11596.2,11651.6,11554.4,11604.1,664159887,23397.69,,,4,,,
24-Oct-2019,11661.65,11679.6,11534.65,11582.6,700481662,25177.46,58,-79,5,79,,
25-Oct-2019,11646.15,11646.9,11490.75,11583.9,812027840,23611.51,,,6,,,
27-Oct-2019,11662.25,11672.4,11604.6,11627.15,161779004,3548.21,,,1,,,
29-Oct-2019,11643.95,11809.4,11627.35,11786.85,951722529,27054.87,,,3,,,
30-Oct-2019,11883.9,11883.95,11784.45,11844.1,725219760,22672.18,,,4,,,
31-Oct-2019,11890.45,11945,11855.1,11877.45,1414837250,31304.73,46,-13,5,13,,
01-Nov-2019,11886.6,11918.3,11843.35,11890.6,855338495,24933.55,,,6,,,
04-Nov-2019,11928.9,11989.15,11905.35,11941.3,823050457,23203.88,,,2,,,
05-Nov-2019,11974.6,11978.95,11861.9,11917.2,631952071,20995.88,,,3,,,
06-Nov-2019,11911.5,12002.9,11850.25,11966.05,603351290,23324.97,,,4,,,
07-Nov-2019,12021.1,12021.4,11946.85,12012.05,562963817,20898.24,55,-9,5,9,,
08-Nov-2019,11987.15,12034.15,11888.75,11908.15,789254360,22931.52,,,6,,,
11-Nov-2019,11879.2,11932.65,11853.95,11913.45,548979515,16548.47,,,2,,,
13-Nov-2019,11908.3,11946.8,11823.2,11840.45,659035969,20401.5,,,4,,,
14-Nov-2019,11858.75,11895.65,11802.65,11872.1,559494025,19114.86,18,13,5,13,,
15-Nov-2019,11904.2,11973.65,11879.25,11895.45,580154179,22350.63,,,6,,,
18-Nov-2019,11915.15,11946.2,11867.6,11884.5,514352437,17991.41,,,2,,,
19-Nov-2019,11919.45,11958.85,11881.75,11940.1,613909679,21574.84,,,3,,,
20-Nov-2019,12004.75,12038.6,11966.05,11999.1,646661147,24341.14,,,4,,,
21-Nov-2019,12025.65,12028.2,11956.9,11968.4,557685781,21609.99,27,-57,5,57,,
22-Nov-2019,11967.3,11968.1,11883.5,11914.4,486815185,19243.57,,,6,,,
25-Nov-2019,11922.45,12084.5,11919.75,12073.75,534289467,19990.44,,,2,,,
26-Nov-2019,12110.2,12132.45,12006.35,12037.7,1201335831,46030.62,,,3,,,
27-Nov-2019,12068.5,12114.9,12055.15,12100.7,584226618,19937.4,,,4,,,
28-Nov-2019,12132.1,12158.8,12099.95,12151.15,620479403,21229.58,31,19,5,19,,
29-Nov-2019,12146.2,12147.4,12017.4,12056.05,804430391,21838.04,,,6,,,
02-Dec-2019,12137.05,12137.15,12023.7,12048.2,720945335,23113.18,,,2,,,
03-Dec-2019,12067.65,12068.6,11956.4,11994.2,605789334,18203.76,,,3,,,
04-Dec-2019,11969.95,12054.7,11935.3,12043.2,747193818,22132.83,,,4,,,
05-Dec-2019,12071.25,12081.2,11998.75,12018.4,562228745,19589.81,28,-53,5,53,,
06-Dec-2019,12047.35,12057.05,11888.85,11921.5,609221205,18245.49,,,6,,,
09-Dec-2019,11939.1,11981.95,11888.05,11937.5,599115748,16672.87,,,2,,,
10-Dec-2019,11950.5,11953.2,11844.7,11856.8,650219487,16514.63,,,3,,,
11-Dec-2019,11867.35,11923.2,11832.3,11910.15,997655048,18760.57,,,4,,,
12-Dec-2019,11944.3,12005.5,11934,11971.8,752617138,18401.22,34,28,5,28,,
13-Dec-2019,12026.4,12098.85,12023.6,12086.7,597712516,20626.8,,,6,,,
16-Dec-2019,12131.35,12134.65,12046.3,12053.95,437703921,16110.34,,,2,,,
17-Dec-2019,12082.45,12182.75,12070.35,12165,499585789,20968.79,,,3,,,
18-Dec-2019,12197,12237.7,12163.45,12221.65,518854651,22341.06,,,4,,,
19-Dec-2019,12223.4,12268.35,12191.15,12259.7,623049839,19761.9,2,36,5,36,,
20-Dec-2019,12266.45,12293.9,12252.75,12271.8,810676090,25750.24,,,6,,,
23-Dec-2019,12235.45,12287.15,12213.25,12262.75,604782354,18078.23,,,2,,,
24-Dec-2019,12269.25,12283.7,12202.1,12214.55,470290298,13864.56,,,3,,,
26-Dec-2019,12211.85,12221.55,12118.85,12126.55,520326632,16362.31,-3,-85,5,85,,
27-Dec-2019,12172.9,12258.45,12157.9,12245.8,383788556,13676.2,,,6,,,
30-Dec-2019,12274.9,12286.45,12213.8,12255.85,411084614,14556.73,,,2,,,
31-Dec-2019,12247.1,12247.1,12151.8,12168.45,426931711,14812.89,,,3,,,
01-Jan-2020,12202.15,12222.2,12165.3,12182.5,304078039,10445.68,,,4,,,
02-Jan-2020,12198.55,12289.9,12195.25,12282.2,407697594,15256.55,16,84,5,84,,
03-Jan-2020,12261.1,12265.6,12191.35,12226.65,428770054,16827.27,,,6,,,
06-Jan-2020,12170.6,12179.1,11974.2,11993.05,396501419,16869.22,,,2,,,
07-Jan-2020,12079.1,12152.15,12005.35,12052.95,447818617,17797.68,,,3,,,
