date,time,strategy,action,symbol,strikePrice,price
24-Jun-2020,10:48,bb1sd,Sell,CALL,10550,44.9
24-Jun-2020,10:48,stochastic,Sell,CALL,10550,44.9
24-Jun-2020,10:48,combination,Sell,CALL,10550,44.9
24-Jun-2020,10:48,bb1sd,Buy,PUT,10500,83.8
24-Jun-2020,10:48,stochastic,Buy,PUT,10500,83.8
24-Jun-2020,10:48,combination,Buy,PUT,10500,83.8
24-Jun-2020,10:49,bb1sd,Sell,NIFTY,,10492.2
24-Jun-2020,10:49,stochastic,Sell,NIFTY,,10492.2
24-Jun-2020,10:49,combination,Sell,NIFTY,,10492.2
24-Jun-2020,10:49,bb1sd,Sell,CALL,10550,45
24-Jun-2020,10:49,stochastic,Sell,CALL,10550,45
24-Jun-2020,10:49,combination,Sell,CALL,10550,45
24-Jun-2020,10:49,bb1sd,Buy,PUT,10500,86.65
24-Jun-2020,10:49,stochastic,Buy,PUT,10500,86.65
24-Jun-2020,10:49,combination,Buy,PUT,10500,86.65
24-Jun-2020,10:50,bb1sd,Sell,NIFTY,,10495.75
24-Jun-2020,10:50,stochastic,Sell,NIFTY,,10495.75
24-Jun-2020,10:50,combination,Sell,NIFTY,,10495.75
24-Jun-2020,10:50,bb1sd,Sell,CALL,10550,45.9
24-Jun-2020,10:50,stochastic,Sell,CALL,10550,45.9
24-Jun-2020,10:50,combination,Sell,CALL,10550,45.9
24-Jun-2020,10:50,stochastic,Buy,PUT,10500,87.25
24-Jun-2020,10:50,bb1sd,Buy,PUT,10500,87.25
24-Jun-2020,10:50,combination,Buy,PUT,10500,87.25
24-Jun-2020,10:51,sma5,Buy,NIFTY,,10506.1
24-Jun-2020,10:51,sma5,Buy,CALL,10550,48.55
24-Jun-2020,10:51,sma5,Sell,PUT,10500,81.35
24-Jun-2020,10:52,stochastic,Sell,NIFTY,,10500.4
24-Jun-2020,10:52,stochastic,Buy,PUT,10500,83.45
24-Jun-2020,10:52,combination,Buy,PUT,10500,83.45
24-Jun-2020,10:52,stochastic,Sell,CALL,10550,47.8
24-Jun-2020,10:52,bb1sd,Buy,PUT,10500,83.45
24-Jun-2020,10:53,sma5,Sell,NIFTY,,10492.15
24-Jun-2020,10:53,bb1sd,Sell,NIFTY,,10492.15
24-Jun-2020,10:53,stochastic,Sell,NIFTY,,10492.15
24-Jun-2020,10:53,combination,Sell,NIFTY,,10492.15
24-Jun-2020,10:53,sma5,Sell,CALL,10550,45.75
24-Jun-2020,10:53,bb1sd,Sell,CALL,10550,45.75
24-Jun-2020,10:53,stochastic,Sell,CALL,10550,45.75
24-Jun-2020,10:53,combination,Sell,CALL,10550,45.75
24-Jun-2020,10:53,sma5,Buy,PUT,10500,87.75
24-Jun-2020,10:53,bb1sd,Buy,PUT,10500,87.75
24-Jun-2020,10:53,stochastic,Buy,PUT,10500,87.75
24-Jun-2020,10:53,combination,Buy,PUT,10500,87.75
24-Jun-2020,10:54,bb1sd,Sell,NIFTY,,10485.75
24-Jun-2020,10:54,stochastic,Sell,NIFTY,,10485.75
24-Jun-2020,10:54,combination,Sell,NIFTY,,10485.75
24-Jun-2020,10:54,bb1sd,Sell,CALL,10550,43.15
24-Jun-2020,10:54,stochastic,Sell,CALL,10550,43.15
24-Jun-2020,10:54,combination,Sell,CALL,10550,43.15
24-Jun-2020,10:54,bb1sd,Buy,PUT,10500,90.8
24-Jun-2020,10:54,stochastic,Buy,PUT,10500,90.8
24-Jun-2020,10:54,combination,Buy,PUT,10500,90.8
24-Jun-2020,10:55,bb1sd,Sell,NIFTY,,10480.5
24-Jun-2020,10:55,stochastic,Sell,NIFTY,,10480.5
24-Jun-2020,10:55,combination,Sell,NIFTY,,10480.5
24-Jun-2020,10:55,bb1sd,Sell,CALL,10550,40.45
24-Jun-2020,10:55,bb2sd,Sell,CALL,10550,40.45
24-Jun-2020,10:55,stochastic,Sell,CALL,10550,40.45
24-Jun-2020,10:55,combination,Sell,CALL,10550,40.45
24-Jun-2020,10:55,bb1sd,Buy,PUT,10500,96.15
24-Jun-2020,10:55,bb2sd,Buy,PUT,10500,96.15
24-Jun-2020,10:55,stochastic,Buy,PUT,10500,96.15
24-Jun-2020,10:55,combination,Buy,PUT,10500,96.15
24-Jun-2020,10:56,bb1sd,Sell,NIFTY,,10484
24-Jun-2020,10:56,stochastic,Sell,NIFTY,,10484
24-Jun-2020,10:56,combination,Sell,NIFTY,,10484
24-Jun-2020,10:56,bb1sd,Sell,CALL,10550,43.35
24-Jun-2020,10:56,bb1sd,Buy,PUT,10500,92
24-Jun-2020,10:56,stochastic,Buy,PUT,10500,92
24-Jun-2020,10:56,combination,Buy,PUT,10500,92
24-Jun-2020,10:57,sma5,Buy,NIFTY,,10487.55
24-Jun-2020,10:57,bb1sd,Sell,NIFTY,,10487.55
24-Jun-2020,10:57,stochastic,Sell,NIFTY,,10487.55
24-Jun-2020,10:57,combination,Sell,NIFTY,,10487.55
24-Jun-2020,10:57,bb1sd,Sell,CALL,10550,43.5
24-Jun-2020,10:57,bb1sd,Buy,PUT,10500,92.7
24-Jun-2020,10:57,stochastic,Buy,PUT,10500,92.7
24-Jun-2020,10:57,combination,Buy,PUT,10500,92.7
