sampleCount, change, profit, count, value, avg
"13","10","19","22","134","6"
"13","10","20","22","129","5"
"13","10","21","22","140","6"
"13","10","22","20","119","5"
"13","10","23","20","118","5"
"13","10","24","20","120","6"
"13","10","25","20","123","6"
"13","10","26","20","123","6"
"13","10","27","18","114","6"
"13","10","28","14","129","9"
"13","10","29","14","140","10"
"13","10","30","16","139","8"
"13","10","31","14","127","9"
"13","10","32","16","121","7"
"13","10","33","16","121","7"
"13","10","34","16","121","7"
"13","10","35","16","121","7"
"13","10","36","16","116","7"
"13","10","37","16","119","7"
"13","10","38","16","119","7"
"13","10","39","16","128","8"
"13","10","40","16","121","7"
"13","15","10","38","79","2"
"13","15","11","38","83","2"
"13","15","12","34","121","3"
"13","15","13","32","120","3"
"13","15","14","28","155","5"
"13","15","15","24","122","5"
"13","15","16","22","123","5"
"13","15","17","22","124","5"
"13","15","18","22","114","5"
"13","15","19","22","134","6"
"13","15","20","22","131","5"
"13","15","21","20","112","5"
"13","15","22","20","94","4"
"13","15","23","20","108","5"
"13","15","24","20","108","5"
"13","15","25","18","103","5"
"13","15","26","18","101","5"
"13","15","27","16","98","6"
"13","15","28","16","98","6"
"13","15","29","16","103","6"
"13","15","30","18","99","5"
"13","15","31","16","99","6"
"13","15","32","16","109","6"
"13","15","33","16","127","7"
"13","15","34","16","127","7"
"13","15","35","16","127","7"
"13","15","36","16","115","7"
"13","15","37","12","121","10"
"13","15","38","12","121","10"
"13","15","39","12","121","10"
"13","15","40","12","114","9"
"13","20","10","26","83","3"
"13","20","11","26","80","3"
"13","20","12","22","95","4"
"13","20","13","22","95","4"
"13","20","14","22","95","4"
"13","20","15","20","78","3"
"13","20","16","18","68","3"
"13","20","17","18","68","3"
"13","20","18","18","75","4"
"13","20","19","18","82","4"
"13","20","20","18","102","5"
"13","20","21","18","102","5"
"13","20","22","16","80","5"
"13","20","23","16","73","4"
"13","20","24","16","66","4"
"13","20","25","16","66","4"
"13","20","26","16","66","4"
"13","20","27","14","59","4"
"13","20","28","14","62","4"
"13","20","29","14","70","5"
"13","20","30","12","97","8"
"13","20","31","10","70","7"
"13","20","32","10","76","7"
"13","20","33","10","77","7"
"13","20","34","10","77","7"
"13","20","35","10","77","7"
"13","20","36","10","62","6"
"13","20","37","10","62","6"
"13","20","38","10","82","8"
"13","20","39","8","65","8"
"13","20","40","8","63","7"
"13","25","10","18","42","2"
"13","25","11","18","56","3"
"13","25","12","16","52","3"
"13","25","13","16","52","3"
"13","25","14","16","43","2"
"13","25","15","16","43","2"
"13","25","16","16","48","3"
"13","25","17","16","52","3"
"13","25","18","16","104","6"
"13","25","19","16","101","6"
"13","25","20","14","82","5"
"13","25","21","14","82","5"
"13","25","22","12","76","6"
"13","25","23","12","69","5"
"13","25","24","12","69","5"
"13","25","25","12","69","5"
"13","25","26","10","70","7"
"13","25","27","10","68","6"
"13","25","28","10","71","7"
"13","25","29","10","74","7"
"13","25","30","8","79","9"
"13","25","31","8","85","10"
"13","25","32","8","92","11"
"13","25","33","8","116","14"
"13","25","34","8","97","12"
"13","25","35","8","97","12"
"13","25","36","8","111","13"
"13","25","37","8","111","13"
"13","25","38","8","111","13"
"13","25","39","6","105","17"
"13","25","40","6","105","17"
"13","30","10","16","30","1"
"13","30","11","16","40","2"
"13","30","12","16","37","2"
"13","30","13","16","41","2"
"13","30","14","16","40","2"
"13","30","15","14","22","1"
"13","30","16","14","22","1"
"13","30","17","14","70","5"
"13","30","18","14","70","5"
"13","30","19","12","100","8"
"13","30","20","12","59","4"
"13","30","21","10","39","3"
"13","30","22","10","39","3"
"13","30","23","10","33","3"
"13","30","24","10","41","4"
"13","30","25","8","41","5"
"13","30","26","8","41","5"
"13","30","27","8","41","5"
"13","30","28","8","41","5"
"13","30","29","8","41","5"
"13","30","30","8","79","9"
"13","30","31","8","81","10"
"13","30","32","8","85","10"
"13","30","33","8","91","11"
"13","30","34","6","83","13"
"13","30","35","6","83","13"
"13","30","36","6","88","14"
"13","30","37","6","88","14"
"13","30","38","6","99","16"
"13","30","39","6","99","16"
"13","30","40","6","99","16"
"13","35","10","12","-3","-1"
"13","35","11","12","-3","-1"
"13","35","12","12","4","0"
"13","35","13","10","-14","-2"
"13","35","14","10","-9","-1"
"13","35","15","10","-15","-2"
"13","35","16","10","-15","-2"
"13","35","17","10","38","3"
"13","35","18","10","38","3"
"13","35","19","10","38","3"
"13","35","20","10","38","3"
"13","35","21","10","39","3"
"13","35","22","10","39","3"
"13","35","23","10","39","3"
"13","35","24","10","21","2"
"13","35","25","8","26","3"
"13","35","26","8","26","3"
"13","35","27","8","26","3"
"13","35","28","8","11","1"
"13","35","29","8","11","1"
"13","35","30","8","11","1"
"13","35","31","8","16","2"
"13","35","32","8","16","2"
"13","35","33","8","16","2"
"13","35","34","8","16","2"
"13","35","35","8","16","2"
"13","35","36","8","20","2"
"13","35","37","8","26","3"
"13","35","38","8","26","3"
"13","35","39","8","26","3"
"13","35","40","8","28","3"
"13","40","10","8","24","3"
"13","40","11","8","24","3"
"13","40","12","6","14","2"
"13","40","13","6","18","3"
"13","40","14","6","12","2"
"13","40","15","6","12","2"
"13","40","16","6","18","3"
"13","40","17","6","29","4"
"13","40","18","6","29","4"
"13","40","19","6","26","4"
"13","40","20","6","26","4"
"13","40","21","6","31","5"
"13","40","22","6","13","2"
"13","40","23","6","13","2"
"13","40","24","6","13","2"
"13","40","25","6","13","2"
"13","40","26","6","13","2"
"13","40","27","6","17","2"
"13","40","28","6","26","4"
"13","40","29","6","26","4"
"13","40","30","6","28","4"
"13","40","31","6","28","4"
"13","40","32","6","41","6"
"13","40","33","6","41","6"
"13","40","34","6","41","6"
"13","40","35","6","41","6"
"13","40","36","6","41","6"
"13","40","37","6","47","7"
"13","40","38","6","47","7"
"13","40","39","6","47","7"
"13","40","40","6","40","6"
"14","5","10","48","145","3"
"14","5","11","46","95","2"
