"Token", "ShortName", "Series", "CompanyName", "ticksize", "Lotsize", "DateOfListing", "DateOfDeListing", "IssuePrice", "FaceValue", "ISINCode", "52WeeksHigh", "52WeeksLow", "LifeTimeHigh", "LifeTimeLow", "HighDate", "LowDate", "Symbol", "InstrumentType", "PermittedToTrade", "IssueCapital", "WarningPercent", "FreezePercent", "CreditRating", "IssueRate", "IssueStartDate", "InterestPaymentDate", "IssueMaturityDate", "BoardLotQty", "Name", "ListingDate", "ExpulsionDate", "ReAdmissionDate", "RecordDate", "ExpiryDate", "NoDeliveryStartDate", "NoDeliveryEndDate", "MFill", "AON", "ParticipantInMarketIndex", "BookClsStartDate", "BookClsEndDate", "EGM", "AGM", "Interest", "Bonus", "Rights", "Dividends", "LocalUpdateDateTime", "DeleteFlag", "Remarks", "NormalMarketStatus", "OddLotMarketStatus", "SpotMarketStatus", "AuctionMarketStatus", "NormalMarketEligibility", "OddLotlMarketEligibility", "SpotMarketEligibility", "AuctionlMarketEligibility", "MarginPercentage", "ExchangeCode"
"1949","KSBPUM","EQ","KSB LIMITED",0.01,1,"","",0,2,"INE999A01023",1028.3,666.65,1060,3.72,"","","",0,0,0,975.7,650.5,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","KSB"
"19492","PLAINF","SM","PLADA INFOTECH SERVICES LTD",0.01,1,"","",0,10,"INE0PXD01014",20.3,9.05,60,9.05,"","","",0,0,0,13.7,12.4,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","PLADAINFO"
"19496","SECCON","EQ","SECMARK CONSULTANCY LIMITED",0.01,1,"","",0,10,"INE0BTM01013",179.5,95.05,179.5,71.35,"","","",0,0,0,172.92,115.28,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SECMARK"
"19503","TANCON","BE","TWAMEV CONSTRUCTION  INFRA LTD",0.01,1,"","",0,1,"INE388G01026",33.99,5.81,158.8,1,"","","",0,0,0,6.14,5.56,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","TICL"
"19513","COMCAR","SM","COMMITTED CARGO CARE LIMITED",0.01,1,"","",0,10,"INE597Z01014",362,174.25,362,48.5,"","","",0,0,0,363.55,297.45,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","COMMITTED"
"19525","INDINV","EQ","INDUSTRIAL INVESTMENT TRUST LT",0.01,1,"","",0,10,"INE886A01014",216,108,444.95,46.8,"","","",0,0,0,172.04,114.7,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","IITL"
"19531","BAJCOR","EQ","BAJAJ  CONSUMER CARE LIMITED",0.01,1,"","",0,1,"INE933K01021",692,232.1,525,73.4,"","","",0,0,0,614.55,409.75,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","BAJAJCON"
"19543","HDFGOL","EQ","HDFC GOLD ETF",0.01,1,"","",0,100,"INF179KC1981",152.3,93.55,152.3,18.25,"","","",0,0,0,138.47,122.81,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","HDFCGOLD"
"19556","BHAHOS","EQ","BHANDARI HOSIERY EXPORTS LTD",0.01,1,"","",0,1,"INE474E01029",3.99,2,11.28,0.42,"","","",0,0,0,3.28,2.7,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","BHANDARI"
"19563","VARPP1","E1","VARANIUM CLOUD LTD PP",0.01,1,"","",0,1,"IN90JOO01011",0,0,0,0,"","","",0,0,0,51.5,42.2,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","CLOUDPP"
