"Token","InstrumentName","ShortName","Series","ExpiryDate","StrikePrice","OptionType","CALevel","PermittedToTrade","IssueCapital","WarningQty","FreezeQty","CreditRating","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotMarketEligibility","SpotMarketEligibility","AuctionMarketEligibility","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","MarginPercentage","MinimumLotQty","LotSize","TickSize","CompanyName","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","LowPriceRange","HighPriceRange","SecurityExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MF","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","ExcerciseStartDate","ExcerciseEndDate","OldToken","AssetInstrument","AssetName","AssetToken","IntrinsicValue","ExtrinsicValue","ExcerciseStyle","EGM","AGM","Interest","Bonus","Rights","Dividends","ExAllowed","ExRejectionAllowed","PlAllowed","IsThisAsset","IsCorpAdjusted","LocalUpdateDatetime","DeleteFlag","Remarks","BasePrice","ExchangeCode"
"839185","OPTIND","BSESEN","OPTION","24-Sep-2026","75600","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",6020,0,20,5,"BSE SENSEX","","","","",0.05,3086.15,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7482825,"SENSEX"
"839186","OPTIND","BSESEN","OPTION","24-Sep-2026","77900","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",1480,0,20,5,"BSE SENSEX","","","","",268.4,5523,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7482825,"SENSEX"
"839188","OPTIND","BSESEN","OPTION","24-Sep-2026","71900","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",210460,0,20,5,"BSE SENSEX","","","","",0.05,20.05,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7482825,"SENSEX"
"839189","OPTIND","BSESEN","OPTION","24-Sep-2026","76300","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",638060,0,20,5,"BSE SENSEX","","","","",0.05,218.4,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7482825,"SENSEX"
"839190","OPTIND","BSESEN","OPTION","24-Sep-2026","78600","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",20420,0,20,5,"BSE SENSEX","","","","",0.05,20.05,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7482825,"SENSEX"
"839191","OPTIND","BSESEN","OPTION","24-Sep-2026","83300","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",5949.75,11208.05,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7680848,"SENSEX"
"839192","OPTIND","BSESEN","OPTION","24-Sep-2026","72600","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",0.05,4770.25,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7452908,"SENSEX"
"839193","OPTIND","BSESEN","OPTION","24-Sep-2026","74900","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",1159560,0,20,5,"BSE SENSEX","","","","",0.05,1559.7,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7482825,"SENSEX"
"839195","OPTIND","BSESEN","OPTION","24-Sep-2026","81900","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",4550.2,9808.5,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7680848,"SENSEX"
"839206","OPTIND","BSESEN","OPTION","24-Sep-2026","73200","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",3660,0,20,5,"BSE SENSEX","","","","",0.05,4186.35,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7482825,"SENSEX"
