eventName,open,close,high,low,S1,R1,S2,R2
priceUpdate_120,24009.55,24009.95,24015.4,24007.85,24006.73,24014.28,24003.52,24018.62
priceUpdate_60,24012.35,24013.8,24016.55,24009.9,24010.28,24016.93,24006.77,24020.07
priceUpdate_60,24016.35,24017.65,24018,24013.05,24014.47,24019.42,24011.28,24021.18
priceUpdate_300,24014.65,24021.8,24021.8,24007.85,24012.5,24026.45,24003.2,24031.1
priceUpdate_120,24010.95,24022.2,24023,24010.55,24014.17,24026.62,24006.13,24031.03
priceUpdate_60,24018.05,24021.5,24023.95,24017.6,24018.08,24024.43,24014.67,24027.37
priceUpdate_60,24021.1,24022.9,24024.7,24018,24019.03,24025.73,24015.17,24028.57
priceUpdate_120,24022.4,24015.2,24024.7,24015.2,24012.03,24021.53,24008.87,24027.87
priceUpdate_60,24022.7,24011.55,24024.65,24010.7,24006.62,24020.57,24001.68,24029.58
priceUpdate_60,24012.5,23996.6,24013.2,23995.6,23990.4,24008,23984.2,24019.4
priceUpdate_120,24015.45,23982.95,24015.45,23982.75,23971.98,24004.68,23961.02,24026.42
priceUpdate_60,23995.15,23983.7,23995.15,23980.35,23977.65,23992.45,23971.6,24001.2
priceUpdate_300,24022.05,23990.4,24024.7,23980.35,23972.27,24016.62,23954.13,24042.83
priceUpdate_60,23982.75,23984.3,23991.1,23981.85,23980.4,23989.65,23976.5,23995
priceUpdate_120,23983.85,23983.05,23991.1,23980.35,23978.57,23989.32,23974.08,23995.58
priceUpdate_60,23985.25,23979,23986.95,23977.7,23975.48,23984.73,23971.97,23990.47
priceUpdate_60,23979.85,23981.95,23984.65,23974.45,23976.05,23986.25,23970.15,23990.55
priceUpdate_120,23981.9,23986.4,23987.5,23974.45,23978.07,23991.12,23969.73,23995.83
priceUpdate_60,23980.85,23985.3,23987.9,23979.8,23980.77,23988.87,23976.23,23992.43
priceUpdate_60,23985.9,23982.15,23986.65,23980,23979.22,23985.87,23976.28,23989.58
priceUpdate_300,23989.05,23984.45,23990.1,23974.45,23975.9,23991.55,23967.35,23998.65
priceUpdate_120,23985.3,23973.75,23987.9,23973.75,23969.03,23983.18,23964.32,23992.62
priceUpdate_60,23982,23967.5,23984.8,23961.7,23957.87,23980.97,23948.23,23994.43
priceUpdate_60,23969.3,23967.8,23972.05,23964.6,23964.25,23971.7,23960.7,23975.6
priceUpdate_120,23974.1,23968.55,23975,23961.7,23961.83,23975.13,23955.12,23981.72
priceUpdate_60,23967.5,23973.65,23973.95,23963.8,23966.98,23977.13,23960.32,23980.62
priceUpdate_60,23972.75,23980.4,23984.75,23972.35,23973.58,23985.98,23966.77,23991.57
priceUpdate_120,23969.15,23984.7,23987.85,23969.15,23973.28,23991.98,23961.87,23999.27
priceUpdate_60,23980.25,23989.4,23991.25,23978.75,23981.68,23994.18,23973.97,23998.97
priceUpdate_300,23983.1,23992.45,23995.1,23961.7,23971.07,24004.47,23949.68,24016.48
priceUpdate_60,23989.75,23994.15,23998.5,23989.75,23989.77,23998.52,23985.38,24002.88
priceUpdate_120,23986.1,23976.7,23998.5,23976.7,23969.43,23991.23,23962.17,24005.77
priceUpdate_60,23994.4,23977.15,23994.65,23973.15,23968.65,23990.15,23960.15,24003.15
priceUpdate_60,23976.3,23983.05,23984.65,23975,23977.15,23986.8,23971.25,23990.55
priceUpdate_120,23976.95,23974.55,23984.65,23973.15,23970.25,23981.75,23965.95,23988.95
priceUpdate_60,23983,23975.5,23983.45,23974.1,23971.92,23981.27,23968.33,23987.03
priceUpdate_60,23975.35,23978.25,23978.3,23972.4,23974.33,23980.23,23970.42,23982.22
priceUpdate_300,23993.4,23972.55,23998.5,23972.4,23963.8,23989.9,23955.05,24007.25
priceUpdate_120,23975.3,23973.55,23978.65,23971.55,23970.52,23977.62,23967.48,23981.68
priceUpdate_60,23977.35,23974.55,23978.65,23971.55,23971.18,23978.28,23967.82,23982.02
