Exchange,Token,LotSize,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
NFO,41036,1150,VEDL,VEDL28APR26P510,28-APR-2026,OPTSTK,PE,510,0.05,
NFO,41035,425,TORNTPOWER,TORNTPOWER30MAR26P1740,30-MAR-2026,OPTSTK,PE,1740,0.05,
NFO,41034,425,TORNTPOWER,TORNTPOWER30MAR26C1740,30-MAR-2026,OPTSTK,CE,1740,0.05,
NFO,41033,425,TORNTPOWER,TORNTPOWER30MAR26P1700,30-MAR-2026,OPTSTK,PE,1700,0.05,
NFO,41032,1150,VEDL,VEDL28APR26C510,28-APR-2026,OPTSTK,CE,510,0.05,
NFO,41031,65,NIFTY,NIFTY07APR26P27150,07-APR-2026,OPTIDX,PE,27150,0.05,
NFO,41030,425,TORNTPOWER,TORNTPOWER30MAR26C1700,30-MAR-2026,OPTSTK,CE,1700,0.05,
NFO,41029,65,NIFTY,NIFTY07APR26C27150,07-APR-2026,OPTIDX,CE,27150,0.05,
NFO,41028,65,NIFTY,NIFTY07APR26P27100,07-APR-2026,OPTIDX,PE,27100,0.05,
NFO,41027,65,NIFTY,NIFTY07APR26C27100,07-APR-2026,OPTIDX,CE,27100,0.05,
NFO,41026,65,NIFTY,NIFTY07APR26P27050,07-APR-2026,OPTIDX,PE,27050,0.05,
NFO,41025,65,NIFTY,NIFTY07APR26C27050,07-APR-2026,OPTIDX,CE,27050,0.05,
NFO,41024,1150,VEDL,VEDL30MAR26P565,30-MAR-2026,OPTSTK,PE,565,0.05,
NFO,41023,1150,VEDL,VEDL30MAR26C565,30-MAR-2026,OPTSTK,CE,565,0.05,
NFO,41022,1150,VEDL,VEDL30MAR26P555,30-MAR-2026,OPTSTK,PE,555,0.05,
NFO,41021,1150,VEDL,VEDL30MAR26C555,30-MAR-2026,OPTSTK,CE,555,0.05,
NFO,41020,65,NIFTY,NIFTY07APR26P27000,07-APR-2026,OPTIDX,PE,27000,0.05,
NFO,41019,65,NIFTY,NIFTY07APR26C27000,07-APR-2026,OPTIDX,CE,27000,0.05,
NFO,41018,1150,VEDL,VEDL30MAR26C545,30-MAR-2026,OPTSTK,CE,545,0.05,
NFO,41017,1150,VEDL,VEDL30MAR26P535,30-MAR-2026,OPTSTK,PE,535,0.05,
NFO,41016,65,NIFTY,NIFTY07APR26P26950,07-APR-2026,OPTIDX,PE,26950,0.05,
NFO,41015,1150,VEDL,VEDL30MAR26C535,30-MAR-2026,OPTSTK,CE,535,0.05,
NFO,41014,65,NIFTY,NIFTY07APR26C26950,07-APR-2026,OPTIDX,CE,26950,0.05,
NFO,41013,65,NIFTY,NIFTY07APR26P26900,07-APR-2026,OPTIDX,PE,26900,0.05,
NFO,41012,65,NIFTY,NIFTY07APR26C26900,07-APR-2026,OPTIDX,CE,26900,0.05,
NFO,41011,65,NIFTY,NIFTY07APR26P26850,07-APR-2026,OPTIDX,PE,26850,0.05,
NFO,41010,1150,VEDL,VEDL30MAR26P490,30-MAR-2026,OPTSTK,PE,490,0.05,
NFO,41009,1150,VEDL,VEDL30MAR26C490,30-MAR-2026,OPTSTK,CE,490,0.05,
NFO,41008,65,NIFTY,NIFTY07APR26C26850,07-APR-2026,OPTIDX,CE,26850,0.05,
NFO,41007,65,NIFTY,NIFTY07APR26P26800,07-APR-2026,OPTIDX,PE,26800,0.05,
NFO,41006,65,NIFTY,NIFTY07APR26C26800,07-APR-2026,OPTIDX,CE,26800,0.05,
NFO,41005,65,NIFTY,NIFTY07APR26P26750,07-APR-2026,OPTIDX,PE,26750,0.05,
NFO,41004,65,NIFTY,NIFTY07APR26C26750,07-APR-2026,OPTIDX,CE,26750,0.05,
NFO,41003,65,NIFTY,NIFTY07APR26P26700,07-APR-2026,OPTIDX,PE,26700,0.05,
NFO,41002,65,NIFTY,NIFTY07APR26C26700,07-APR-2026,OPTIDX,CE,26700,0.05,
NFO,41001,65,NIFTY,NIFTY07APR26P26650,07-APR-2026,OPTIDX,PE,26650,0.05,
NFO,41000,65,NIFTY,NIFTY07APR26C26650,07-APR-2026,OPTIDX,CE,26650,0.05,
NFO,40999,65,NIFTY,NIFTY07APR26P26600,07-APR-2026,OPTIDX,PE,26600,0.05,
NFO,40998,65,NIFTY,NIFTY07APR26C26600,07-APR-2026,OPTIDX,CE,26600,0.05,
NFO,40997,65,NIFTY,NIFTY07APR26P26550,07-APR-2026,OPTIDX,PE,26550,0.05,
NFO,40996,65,NIFTY,NIFTY07APR26C26550,07-APR-2026,OPTIDX,CE,26550,0.05,
NFO,40995,65,NIFTY,NIFTY07APR26P26500,07-APR-2026,OPTIDX,PE,26500,0.05,
NFO,40994,65,NIFTY,NIFTY07APR26C26500,07-APR-2026,OPTIDX,CE,26500,0.05,
NFO,40993,65,NIFTY,NIFTY07APR26P26450,07-APR-2026,OPTIDX,PE,26450,0.05,
NFO,40992,65,NIFTY,NIFTY07APR26C26450,07-APR-2026,OPTIDX,CE,26450,0.05,
NFO,40991,65,NIFTY,NIFTY07APR26P26400,07-APR-2026,OPTIDX,PE,26400,0.05,
NFO,40990,65,NIFTY,NIFTY07APR26C26400,07-APR-2026,OPTIDX,CE,26400,0.05,
NFO,40989,250,TORNTPHARM,TORNTPHARM30MAR26P5360,30-MAR-2026,OPTSTK,PE,5360,0.05,
NFO,40988,250,TORNTPHARM,TORNTPHARM30MAR26C5360,30-MAR-2026,OPTSTK,CE,5360,0.05,
NFO,40987,250,TORNTPHARM,TORNTPHARM30MAR26P4600,30-MAR-2026,OPTSTK,PE,4600,0.05,
NFO,40986,250,TORNTPHARM,TORNTPHARM30MAR26C4600,30-MAR-2026,OPTSTK,CE,4600,0.05,
NFO,40985,65,NIFTY,NIFTY07APR26P26350,07-APR-2026,OPTIDX,PE,26350,0.05,
NFO,40984,65,NIFTY,NIFTY07APR26C26350,07-APR-2026,OPTIDX,CE,26350,0.05,
NFO,40983,65,NIFTY,NIFTY07APR26P26300,07-APR-2026,OPTIDX,PE,26300,0.05,
NFO,40982,65,NIFTY,NIFTY07APR26C26300,07-APR-2026,OPTIDX,CE,26300,0.05,
NFO,40981,65,NIFTY,NIFTY07APR26P26250,07-APR-2026,OPTIDX,PE,26250,0.05,
NFO,40980,65,NIFTY,NIFTY07APR26C26250,07-APR-2026,OPTIDX,CE,26250,0.05,
NFO,40979,65,NIFTY,NIFTY07APR26P26200,07-APR-2026,OPTIDX,PE,26200,0.05,
NFO,40978,65,NIFTY,NIFTY07APR26C26200,07-APR-2026,OPTIDX,CE,26200,0.05,
NFO,40977,65,NIFTY,NIFTY07APR26P26150,07-APR-2026,OPTIDX,PE,26150,0.05,
NFO,40976,65,NIFTY,NIFTY07APR26C26150,07-APR-2026,OPTIDX,CE,26150,0.05,
NFO,40975,65,NIFTY,NIFTY07APR26P26100,07-APR-2026,OPTIDX,PE,26100,0.05,
NFO,40974,65,NIFTY,NIFTY07APR26C26100,07-APR-2026,OPTIDX,CE,26100,0.05,
NFO,40973,65,NIFTY,NIFTY07APR26P26050,07-APR-2026,OPTIDX,PE,26050,0.05,
NFO,40972,65,NIFTY,NIFTY07APR26C26050,07-APR-2026,OPTIDX,CE,26050,0.05,
NFO,40971,65,NIFTY,NIFTY07APR26P26000,07-APR-2026,OPTIDX,PE,26000,0.05,
NFO,40970,65,NIFTY,NIFTY07APR26C26000,07-APR-2026,OPTIDX,CE,26000,0.05,
NFO,40969,65,NIFTY,NIFTY07APR26P25950,07-APR-2026,OPTIDX,PE,25950,0.05,
NFO,40968,1355,UPL,UPL28APR26P460,28-APR-2026,OPTSTK,PE,460,0.05,
NFO,40967,65,NIFTY,NIFTY07APR26C25950,07-APR-2026,OPTIDX,CE,25950,0.05,
NFO,40966,65,NIFTY,NIFTY07APR26P25900,07-APR-2026,OPTIDX,PE,25900,0.05,
NFO,40965,800,TATATECH,TATATECH30MAR26P830,30-MAR-2026,OPTSTK,PE,830,0.05,
NFO,40964,800,TATATECH,TATATECH30MAR26C830,30-MAR-2026,OPTSTK,CE,830,0.05,
NFO,40963,65,NIFTY,NIFTY07APR26C25900,07-APR-2026,OPTIDX,CE,25900,0.05,
NFO,40962,65,NIFTY,NIFTY07APR26P25850,07-APR-2026,OPTIDX,PE,25850,0.05,
NFO,40961,65,NIFTY,NIFTY07APR26C25850,07-APR-2026,OPTIDX,CE,25850,0.05,
NFO,40960,65,NIFTY,NIFTY07APR26P25800,07-APR-2026,OPTIDX,PE,25800,0.05,
NFO,40959,65,NIFTY,NIFTY07APR26C25800,07-APR-2026,OPTIDX,CE,25800,0.05,
NFO,40958,65,NIFTY,NIFTY07APR26P25750,07-APR-2026,OPTIDX,PE,25750,0.05,
NFO,40957,1355,UPL,UPL28APR26C460,28-APR-2026,OPTSTK,CE,460,0.05,
NFO,40956,1355,UPL,UPL30MAR26P470,30-MAR-2026,OPTSTK,PE,470,0.05,
NFO,40955,1355,UPL,UPL30MAR26C470,30-MAR-2026,OPTSTK,CE,470,0.05,
NFO,40954,65,NIFTY,NIFTY07APR26C25750,07-APR-2026,OPTIDX,CE,25750,0.05,
NFO,40953,65,NIFTY,NIFTY07APR26P25700,07-APR-2026,OPTIDX,PE,25700,0.05,
NFO,40952,1355,UPL,UPL30MAR26P340,30-MAR-2026,OPTSTK,PE,340,0.05,
NFO,40951,1355,UPL,UPL30MAR26C340,30-MAR-2026,OPTSTK,CE,340,0.05,
NFO,40950,65,NIFTY,NIFTY07APR26C25700,07-APR-2026,OPTIDX,CE,25700,0.05,
NFO,40949,65,NIFTY,NIFTY07APR26P25650,07-APR-2026,OPTIDX,PE,25650,0.05,
NFO,40948,65,NIFTY,NIFTY07APR26C25650,07-APR-2026,OPTIDX,CE,25650,0.05,
NFO,40947,65,NIFTY,NIFTY07APR26P25600,07-APR-2026,OPTIDX,PE,25600,0.05,
NFO,40946,65,NIFTY,NIFTY07APR26C25600,07-APR-2026,OPTIDX,CE,25600,0.05,
NFO,40945,5500,TATASTEEL,TATASTEEL30MAR26P256,30-MAR-2026,OPTSTK,PE,256,0.01,
NFO,40944,5500,TATASTEEL,TATASTEEL30MAR26C256,30-MAR-2026,OPTSTK,CE,256,0.01,
NFO,40943,65,NIFTY,NIFTY07APR26P25550,07-APR-2026,OPTIDX,PE,25550,0.05,
NFO,40942,65,NIFTY,NIFTY07APR26C25550,07-APR-2026,OPTIDX,CE,25550,0.05,
NFO,40941,65,NIFTY,NIFTY07APR26P25500,07-APR-2026,OPTIDX,PE,25500,0.05,
NFO,40940,550,UNOMINDA,UNOMINDA28APR26P1680,28-APR-2026,OPTSTK,PE,1680,0.05,
NFO,40939,550,UNOMINDA,UNOMINDA28APR26C1680,28-APR-2026,OPTSTK,CE,1680,0.05,
