token,ltp,ltt
NIFTY,24955.95,1755835325
NIFTY,24956.4,1755835325
NIFTY,24957.3,1755835326
NIFTY,24957.4,1755835326
NIFTY,24957.15,1755835327
NIFTY,24957,1755835327
NIFTY,24954.65,1755835328
NIFTY,24954.05,1755835328
NIFTY,24954.55,1755835329
NIFTY,24955.3,1755835329
NIFTY,24955.1,1755835330
NIFTY,24955.35,1755835330
NIFTY,24955.9,1755835331
NIFTY,24956.4,1755835331
NIFTY,24956.15,1755835332
NIFTY,24955.95,1755835332
NIFTY,24956.75,1755835333
NIFTY,24957,1755835333
NIFTY,24957.15,1755835334
NIFTY,24956.95,1755835334
NIFTY,24956.9,1755835335
NIFTY,24956.5,1755835335
NIFTY,24956.15,1755835336
NIFTY,24955.7,1755835336
NIFTY,24956.9,1755835337
NIFTY,24956.4,1755835337
NIFTY,24956.3,1755835338
NIFTY,24956.85,1755835338
NIFTY,24957.25,1755835339
NIFTY,24957.2,1755835339
NIFTY,24956.7,1755835340
NIFTY,24957.2,1755835340
NIFTY,24957.8,1755835341
NIFTY,24957.95,1755835341
NIFTY,24956.85,1755835342
NIFTY,24956.35,1755835342
NIFTY,24955.95,1755835343
NIFTY,24956.55,1755835343
NIFTY,24956.1,1755835344
NIFTY,24956.2,1755835344
NIFTY,24956.4,1755835345
NIFTY,24956.95,1755835345
NIFTY,24955.95,1755835346
NIFTY,24954.9,1755835346
NIFTY,24955.8,1755835347
NIFTY,24955.6,1755835347
NIFTY,24955.75,1755835348
NIFTY,24956.15,1755835348
NIFTY,24956.3,1755835349
NIFTY,24955.4,1755835349
NIFTY,24955.2,1755835350
NIFTY,24954.3,1755835350
NIFTY,24954.9,1755835351
NIFTY,24954.25,1755835351
NIFTY,24955.75,1755835352
NIFTY,24955,1755835352
NIFTY,24953.45,1755835353
NIFTY,24953.1,1755835353
NIFTY,24953.05,1755835354
NIFTY,24952.6,1755835354
NIFTY,24953.45,1755835355
NIFTY,24952.3,1755835355
NIFTY,24952.6,1755835356
NIFTY,24953.2,1755835356
NIFTY,24953.35,1755835357
NIFTY,24953.8,1755835357
NIFTY,24953.55,1755835358
NIFTY,24954.1,1755835358
NIFTY,24954.5,1755835359
NIFTY,24955.2,1755835359
NIFTY,24955.1,1755835360
NIFTY,24955.25,1755835360
NIFTY,24954.8,1755835361
NIFTY,24955.05,1755835361
NIFTY,24955.2,1755835362
NIFTY,24955.95,1755835362
NIFTY,24955.85,1755835363
NIFTY,24955.8,1755835363
NIFTY,24955.5,1755835364
NIFTY,24955.7,1755835365
NIFTY,24955.9,1755835365
NIFTY,24956,1755835366
NIFTY,24956.85,1755835366
NIFTY,24957.95,1755835367
NIFTY,24956.75,1755835367
NIFTY,24957.15,1755835368
NIFTY,24957.75,1755835369
NIFTY,24958.15,1755835369
NIFTY,24959.25,1755835370
NIFTY,24958.85,1755835370
NIFTY,24958.7,1755835371
NIFTY,24957.9,1755835371
NIFTY,24957.85,1755835372
NIFTY,24957.35,1755835372
NIFTY,24957.7,1755835373
NIFTY,24957.85,1755835373
NIFTY,24957.95,1755835374
NIFTY,24958.05,1755835374
NIFTY,24958.2,1755835375
NIFTY,24957.45,1755835375
NIFTY,24957.1,1755835376
NIFTY,24957.3,1755835377
NIFTY,24957.55,1755835377
NIFTY,24957.6,1755835378
NIFTY,24957.9,1755835378
NIFTY,24957,1755835379
NIFTY,24956.85,1755835379
NIFTY,24957.45,1755835380
NIFTY,24958.25,1755835380
NIFTY,24957.65,1755835381
NIFTY,24958.25,1755835382
NIFTY,24957.4,1755835382
NIFTY,24957.15,1755835383
NIFTY,24958.45,1755835383
NIFTY,24957.45,1755835384
NIFTY,24957.9,1755835384
NIFTY,24957.65,1755835385
NIFTY,24958.1,1755835385
NIFTY,24957.75,1755835386
NIFTY,24958.25,1755835386
NIFTY,24958.4,1755835387
NIFTY,24957.25,1755835387
NIFTY,24958,1755835388
NIFTY,24957.35,1755835388
NIFTY,24956.9,1755835389
NIFTY,24956.35,1755835389
NIFTY,24955.5,1755835390
NIFTY,24955.35,1755835390
NIFTY,24954.95,1755835391
NIFTY,24954.8,1755835391
NIFTY,24954.85,1755835392
NIFTY,24955.2,1755835392
NIFTY,24955.5,1755835393
NIFTY,24955.8,1755835393
NIFTY,24956.2,1755835394
NIFTY,24956.45,1755835394
NIFTY,24955.75,1755835395
NIFTY,24956.3,1755835395
NIFTY,24956.55,1755835396
NIFTY,24956.1,1755835396
NIFTY,24956.35,1755835397
NIFTY,24957,1755835397
NIFTY,24957.05,1755835398
NIFTY,24956.65,1755835398
NIFTY,24956.1,1755835399
NIFTY,24956.55,1755835399
NIFTY,24956.45,1755835400
NIFTY,24956.3,1755835400
NIFTY,24957.2,1755835401
NIFTY,24957.1,1755835401
NIFTY,24957.55,1755835402
NIFTY,24957.4,1755835402
NIFTY,24958.25,1755835403
NIFTY,24958.4,1755835403
NIFTY,24958.3,1755835404
NIFTY,24957.35,1755835404
NIFTY,24958.05,1755835405
NIFTY,24957.25,1755835406
NIFTY,24957.05,1755835406
NIFTY,24957.8,1755835407
NIFTY,24957.1,1755835407
NIFTY,24956.8,1755835408
NIFTY,24955.9,1755835408
NIFTY,24956.6,1755835409
NIFTY,24956.65,1755835409
NIFTY,24956.1,1755835410
NIFTY,24955.65,1755835410
NIFTY,24956.15,1755835411
NIFTY,24954.95,1755835411
NIFTY,24954.85,1755835412
NIFTY,24954.95,1755835412
NIFTY,24955.55,1755835413
NIFTY,24957.6,1755835413
NIFTY,24956.4,1755835414
NIFTY,24954.6,1755835414
NIFTY,24955.25,1755835415
NIFTY,24955.4,1755835415
NIFTY,24955.25,1755835416
NIFTY,24955.45,1755835416
NIFTY,24956.1,1755835417
NIFTY,24955.3,1755835417
NIFTY,24955.65,1755835418
NIFTY,24956.8,1755835418
NIFTY,24957.1,1755835419
NIFTY,24956.25,1755835419
NIFTY,24956.05,1755835420
NIFTY,24955.9,1755835420
NIFTY,24955.3,1755835421
NIFTY,24954.8,1755835422
NIFTY,24955.65,1755835422
NIFTY,24954.2,1755835423
NIFTY,24955.1,1755835423
NIFTY,24953.9,1755835424
NIFTY,24954.25,1755835424
NIFTY,24953.75,1755835425
NIFTY,24952.7,1755835425
NIFTY,24953,1755835426
NIFTY,24953.15,1755835426
NIFTY,24952.8,1755835427
NIFTY,24952.7,1755835427
NIFTY,24953.1,1755835428
NIFTY,24953.4,1755835428
NIFTY,24953.35,1755835429
NIFTY,24953.2,1755835429
NIFTY,24953.25,1755835430
NIFTY,24953.75,1755835430
NIFTY,24953.35,1755835431
NIFTY,24953.15,1755835431
NIFTY,24953.75,1755835432
NIFTY,24953.45,1755835432
NIFTY,24952.1,1755835433
NIFTY,24951.85,1755835433
NIFTY,24952.8,1755835434
NIFTY,24951.85,1755835434
NIFTY,24954.1,1755835435
NIFTY,24955.05,1755835435
NIFTY,24954.7,1755835436
NIFTY,24954.75,1755835436
NIFTY,24953.25,1755835437
NIFTY,24952.25,1755835437
NIFTY,24952.4,1755835438
NIFTY,24952.5,1755835438
NIFTY,24954.3,1755835439
NIFTY,24954,1755835440
NIFTY,24953.55,1755835440
NIFTY,24952.65,1755835441
NIFTY,24953.8,1755835441
NIFTY,24953.4,1755835442
NIFTY,24953.45,1755835442
NIFTY,24952.85,1755835443
NIFTY,24952.75,1755835444
NIFTY,24953.55,1755835444
NIFTY,24954.15,1755835445
NIFTY,24953.9,1755835445
NIFTY,24954.2,1755835446
NIFTY,24952.85,1755835446
NIFTY,24953.6,1755835447
NIFTY,24953.55,1755835447
NIFTY,24953.95,1755835448
NIFTY,24952.55,1755835448
NIFTY,24952.85,1755835449
NIFTY,24952.25,1755835449
NIFTY,24952.2,1755835450
NIFTY,24951.7,1755835450
NIFTY,24951,1755835451
NIFTY,24951.5,1755835451
NIFTY,24951,1755835452
NIFTY,24952.4,1755835452
NIFTY,24952.5,1755835453
NIFTY,24951.95,1755835453
NIFTY,24951.2,1755835454
NIFTY,24951.65,1755835454
NIFTY,24951.85,1755835455
NIFTY,24952.05,1755835455
NIFTY,24952.7,1755835456
NIFTY,24953.5,1755835456
NIFTY,24953.4,1755835457
NIFTY,24955.15,1755835457
NIFTY,24955.55,1755835458
NIFTY,24954.35,1755835458
NIFTY,24953.45,1755835459
NIFTY,24954.1,1755835459
NIFTY,24954.45,1755835460
NIFTY,24955.4,1755835460
NIFTY,24955.95,1755835461
NIFTY,24955.45,1755835462
NIFTY,24954.5,1755835462
NIFTY,24955.3,1755835463
NIFTY,24955.55,1755835463
NIFTY,24956.4,1755835464
NIFTY,24954.9,1755835464
NIFTY,24954.7,1755835465
NIFTY,24955.3,1755835465
NIFTY,24954.5,1755835466
NIFTY,24955.3,1755835466
