open,high,low,close,average,median,stdDeviation,trend,macd,rsi,bollinger,time,diff,range,diffFromHigh
23391.95,23400.4,23386.05,23393.85,23391.99616666666,23391.8,3.6410589538697775,Sideways,DOWN,NEUTRAL,neutral,1.739165152224e+12,1.8999999999978172,14.350000000002183,45.64459930314923
23393.95,23396.7,23386.35,23394.20,23390.747833333327,23389.8,2.521941111965646,Sideways,DOWN,NEUTRAL,neutral,1.739165311224e+12,0.25,10.350000000002183,24.154589371975582
23394.75,23399,23390.25,23392.65,23394.55933333334,23394.425000000003,2.2424568867402725,Sideways,DOWN,NEUTRAL,neutral,1.739165470723e+12,-2.099999999998545,8.75,72.57142857141194
23392.45,23392.7,23380.45,23391.40,23388.297,23389.05,2.8918231273714263,Sideways,DOWN,NEUTRAL,neutral,1.739165627222e+12,-1.0499999999992724,12.25,10.612244897953243
23391.20,23399.3,23389.65,23396.85,23394.599000000002,23395.35,2.5149186202870757,Sideways,DOWN,DOWN,neutral,1.73916578872e+12,5.649999999997817,9.649999999997817,25.388601036282715
23396.60,23400.45,23391.3,23399.75,23395.389666666688,23395.025,2.016348156665622,Sideways,DOWN,NEUTRAL,neutral,1.739165945222e+12,3.150000000001455,9.150000000001455,7.6502732240504505
23399.95,23400.55,23385.7,23386.30,23393.99583333333,23392.975,4.239546867165131,Sideways,DOWN,NEUTRAL,neutral,1.739166102221e+12,-13.650000000001455,14.849999999998545,95.95959595960537
23386.40,23398.5,23386.4,23394.15,23393.553666666678,23393.85,3.155865421014655,Sideways,DOWN,NEUTRAL,neutral,1.739166262719e+12,7.75,12.099999999998545,35.95041322313279
23394.40,23403.3,23389.2,23394.45,23396.09983333333,23395.375,3.546621628003445,Sideways,DOWN,NEUTRAL,neutral,1.739166422219e+12,0.049999999999272404,14.099999999998545,62.76595744680466
23394.80,23397.95,23385.15,23389.90,23392.994500000004,23394.375,3.063869244925383,Sideways,DOWN,NEUTRAL,neutral,1.73916658072e+12,-4.899999999997817,12.799999999999272,62.89062499999789
23390.50,23396.4,23386.35,23393.50,23390.90533333335,23391.15,2.046437120678051,Sideways,DOWN,NEUTRAL,neutral,1.739166737721e+12,3,10.05000000000291,28.85572139304095
23394.05,23395.75,23376.85,23384.60,23387.713999999993,23387.175000000003,4.575072385584107,Sideways,DOWN,NEUTRAL,neutral,1.739166895718e+12,-9.450000000000728,18.900000000001455,58.994708994712155
23384.55,23393.8,23371.35,23392.15,23380.287333333337,23381.825,6.0780223940211,Sideways,DOWN,NEUTRAL,neutral,1.739167054723e+12,7.600000000002183,22.450000000000728,7.3496659242662075
23393.05,23399.55,23388.45,23388.80,23395.134833333337,23395.05,2.2551411571980884,Sideways,DOWN,NEUTRAL,neutral,1.739167213221e+12,-4.25,11.099999999998545,96.84684684685955
23388.65,23390.55,23379.85,23384.90,23386.35166666666,23387.1,2.5704404075738405,Sideways,DOWN,UP,neutral,1.739167375723e+12,-3.75,10.700000000000728,52.80373831773302
23385.50,23401.65,23383.9,23398.05,23392.27649999998,23391.65,5.267033265194493,Sideways,DOWN,NEUTRAL,neutral,1.739167533723e+12,12.549999999999272,17.75,20.281690140857368
