Exchange,Token,LotSize,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
NFO,98999,1225,HINDZINC,HINDZINC26JUN25P300,26-JUN-2025,OPTSTK,PE,300,0.05,
NFO,98998,675,JSWSTEEL,JSWSTEEL29MAY25C920,29-MAY-2025,OPTSTK,CE,920,0.05,
NFO,98997,675,JSWSTEEL,JSWSTEEL29MAY25P900,29-MAY-2025,OPTSTK,PE,900,0.05,
NFO,98996,1225,HINDZINC,HINDZINC26JUN25C300,26-JUN-2025,OPTSTK,CE,300,0.05,
NFO,98995,675,JSWSTEEL,JSWSTEEL29MAY25C900,29-MAY-2025,OPTSTK,CE,900,0.05,
NFO,98994,1225,HINDZINC,HINDZINC26JUN25P280,26-JUN-2025,OPTSTK,PE,280,0.05,
NFO,98993,1225,HINDZINC,HINDZINC26JUN25C280,26-JUN-2025,OPTSTK,CE,280,0.05,
NFO,98990,1225,HINDZINC,HINDZINC26JUN25P240,26-JUN-2025,OPTSTK,PE,240,0.05,
NFO,98989,1225,HINDZINC,HINDZINC26JUN25C240,26-JUN-2025,OPTSTK,CE,240,0.05,
NFO,98986,1225,HINDZINC,HINDZINC29MAY25P620,29-MAY-2025,OPTSTK,PE,620,0.05,
NFO,98985,1225,HINDZINC,HINDZINC29MAY25C620,29-MAY-2025,OPTSTK,CE,620,0.05,
NFO,98984,1225,HINDZINC,HINDZINC29MAY25P600,29-MAY-2025,OPTSTK,PE,600,0.05,
NFO,98983,1225,HINDZINC,HINDZINC29MAY25C600,29-MAY-2025,OPTSTK,CE,600,0.05,
NFO,98982,1225,HINDZINC,HINDZINC29MAY25P590,29-MAY-2025,OPTSTK,PE,590,0.05,
NFO,98981,1225,HINDZINC,HINDZINC29MAY25C590,29-MAY-2025,OPTSTK,CE,590,0.05,
NFO,98980,1225,HINDZINC,HINDZINC29MAY25P580,29-MAY-2025,OPTSTK,PE,580,0.05,
NFO,98979,1225,HINDZINC,HINDZINC29MAY25C580,29-MAY-2025,OPTSTK,CE,580,0.05,
NFO,98978,1225,HINDZINC,HINDZINC29MAY25P570,29-MAY-2025,OPTSTK,PE,570,0.05,
NFO,98977,1225,HINDZINC,HINDZINC29MAY25C570,29-MAY-2025,OPTSTK,CE,570,0.05,
NFO,98976,1225,HINDZINC,HINDZINC29MAY25P560,29-MAY-2025,OPTSTK,PE,560,0.05,
NFO,98975,675,JSWSTEEL,JSWSTEEL29MAY25P880,29-MAY-2025,OPTSTK,PE,880,0.05,
NFO,98974,675,JSWSTEEL,JSWSTEEL29MAY25C880,29-MAY-2025,OPTSTK,CE,880,0.05,
NFO,98973,675,JSWSTEEL,JSWSTEEL29MAY25P860,29-MAY-2025,OPTSTK,PE,860,0.05,
NFO,98972,675,JSWSTEEL,JSWSTEEL29MAY25C860,29-MAY-2025,OPTSTK,CE,860,0.05,
NFO,98971,1225,HINDZINC,HINDZINC29MAY25C560,29-MAY-2025,OPTSTK,CE,560,0.05,
NFO,98970,1225,HINDZINC,HINDZINC29MAY25P550,29-MAY-2025,OPTSTK,PE,550,0.05,
NFO,98969,725,CGPOWER,CGPOWER24APR25C620,24-APR-2025,OPTSTK,CE,620,0.05,
NFO,98968,725,CGPOWER,CGPOWER24APR25P600,24-APR-2025,OPTSTK,PE,600,0.05,
NFO,98967,725,CGPOWER,CGPOWER24APR25C600,24-APR-2025,OPTSTK,CE,600,0.05,
NFO,98966,725,CGPOWER,CGPOWER24APR25P580,24-APR-2025,OPTSTK,PE,580,0.05,
NFO,98965,725,CGPOWER,CGPOWER24APR25C580,24-APR-2025,OPTSTK,CE,580,0.05,
NFO,98964,725,CGPOWER,CGPOWER24APR25P560,24-APR-2025,OPTSTK,PE,560,0.05,
NFO,98963,725,CGPOWER,CGPOWER24APR25C560,24-APR-2025,OPTSTK,CE,560,0.05,
NFO,98962,725,CGPOWER,CGPOWER24APR25P540,24-APR-2025,OPTSTK,PE,540,0.05,
NFO,98961,725,CGPOWER,CGPOWER24APR25C540,24-APR-2025,OPTSTK,CE,540,0.05,
NFO,98960,725,CGPOWER,CGPOWER24APR25P520,24-APR-2025,OPTSTK,PE,520,0.05,
NFO,98959,725,CGPOWER,CGPOWER24APR25C520,24-APR-2025,OPTSTK,CE,520,0.05,
NFO,98958,725,CGPOWER,CGPOWER24APR25P500,24-APR-2025,OPTSTK,PE,500,0.05,
NFO,98957,1225,HINDZINC,HINDZINC29MAY25C550,29-MAY-2025,OPTSTK,CE,550,0.05,
NFO,98956,1225,HINDZINC,HINDZINC29MAY25P540,29-MAY-2025,OPTSTK,PE,540,0.05,
NFO,98955,725,CGPOWER,CGPOWER24APR25C500,24-APR-2025,OPTSTK,CE,500,0.05,
NFO,98954,725,CGPOWER,CGPOWER24APR25P480,24-APR-2025,OPTSTK,PE,480,0.05,
NFO,98953,725,CGPOWER,CGPOWER24APR25C480,24-APR-2025,OPTSTK,CE,480,0.05,
NFO,98952,725,CGPOWER,CGPOWER24APR25P460,24-APR-2025,OPTSTK,PE,460,0.05,
NFO,98951,725,CGPOWER,CGPOWER24APR25C460,24-APR-2025,OPTSTK,CE,460,0.05,
NFO,98950,725,CGPOWER,CGPOWER24APR25P440,24-APR-2025,OPTSTK,PE,440,0.05,
NFO,98949,725,CGPOWER,CGPOWER24APR25C440,24-APR-2025,OPTSTK,CE,440,0.05,
NFO,98948,725,CGPOWER,CGPOWER24APR25P420,24-APR-2025,OPTSTK,PE,420,0.05,
NFO,98947,725,CGPOWER,CGPOWER24APR25C420,24-APR-2025,OPTSTK,CE,420,0.05,
NFO,98946,725,CGPOWER,CGPOWER24APR25P400,24-APR-2025,OPTSTK,PE,400,0.05,
NFO,98945,725,CGPOWER,CGPOWER24APR25C400,24-APR-2025,OPTSTK,CE,400,0.05,
NFO,98944,675,JSWSTEEL,JSWSTEEL29MAY25P840,29-MAY-2025,OPTSTK,PE,840,0.05,
NFO,98943,675,JSWSTEEL,JSWSTEEL29MAY25C840,29-MAY-2025,OPTSTK,CE,840,0.05,
NFO,98942,725,CGPOWER,CGPOWER24APR25P360,24-APR-2025,OPTSTK,PE,360,0.05,
NFO,98941,725,CGPOWER,CGPOWER24APR25C360,24-APR-2025,OPTSTK,CE,360,0.05,
NFO,98936,1225,HINDZINC,HINDZINC29MAY25C540,29-MAY-2025,OPTSTK,CE,540,0.05,
NFO,98935,1225,HINDZINC,HINDZINC29MAY25P530,29-MAY-2025,OPTSTK,PE,530,0.05,
NFO,98934,1225,HINDZINC,HINDZINC29MAY25C530,29-MAY-2025,OPTSTK,CE,530,0.05,
NFO,98933,1225,HINDZINC,HINDZINC29MAY25P520,29-MAY-2025,OPTSTK,PE,520,0.05,
NFO,98917,675,JSWSTEEL,JSWSTEEL29MAY25P820,29-MAY-2025,OPTSTK,PE,820,0.05,
NFO,98916,675,JSWSTEEL,JSWSTEEL29MAY25C820,29-MAY-2025,OPTSTK,CE,820,0.05,
NFO,98915,1225,HINDZINC,HINDZINC29MAY25C520,29-MAY-2025,OPTSTK,CE,520,0.05,
NFO,98914,1225,HINDZINC,HINDZINC29MAY25P510,29-MAY-2025,OPTSTK,PE,510,0.05,
NFO,98913,1225,HINDZINC,HINDZINC29MAY25C510,29-MAY-2025,OPTSTK,CE,510,0.05,
NFO,98912,1225,HINDZINC,HINDZINC29MAY25P500,29-MAY-2025,OPTSTK,PE,500,0.05,
NFO,98911,1225,HINDZINC,HINDZINC29MAY25C500,29-MAY-2025,OPTSTK,CE,500,0.05,
NFO,98910,1225,HINDZINC,HINDZINC29MAY25P490,29-MAY-2025,OPTSTK,PE,490,0.05,
NFO,98909,1225,HINDZINC,HINDZINC29MAY25C490,29-MAY-2025,OPTSTK,CE,490,0.05,
NFO,98908,1225,HINDZINC,HINDZINC29MAY25P480,29-MAY-2025,OPTSTK,PE,480,0.05,
NFO,98907,1225,HINDZINC,HINDZINC29MAY25C480,29-MAY-2025,OPTSTK,CE,480,0.05,
NFO,98906,1225,HINDZINC,HINDZINC29MAY25P470,29-MAY-2025,OPTSTK,PE,470,0.05,
NFO,98905,1225,HINDZINC,HINDZINC29MAY25C470,29-MAY-2025,OPTSTK,CE,470,0.05,
NFO,98904,1225,HINDZINC,HINDZINC29MAY25P460,29-MAY-2025,OPTSTK,PE,460,0.05,
NFO,98903,1225,HINDZINC,HINDZINC29MAY25C460,29-MAY-2025,OPTSTK,CE,460,0.05,
NFO,98902,1225,HINDZINC,HINDZINC29MAY25P450,29-MAY-2025,OPTSTK,PE,450,0.05,
NFO,98901,1225,HINDZINC,HINDZINC29MAY25C450,29-MAY-2025,OPTSTK,CE,450,0.05,
NFO,98900,1225,HINDZINC,HINDZINC29MAY25P440,29-MAY-2025,OPTSTK,PE,440,0.05,
NFO,98899,1225,HINDZINC,HINDZINC29MAY25C440,29-MAY-2025,OPTSTK,CE,440,0.05,
NFO,98898,1225,HINDZINC,HINDZINC29MAY25P430,29-MAY-2025,OPTSTK,PE,430,0.05,
NFO,98897,1225,HINDZINC,HINDZINC29MAY25C430,29-MAY-2025,OPTSTK,CE,430,0.05,
NFO,98896,1225,HINDZINC,HINDZINC29MAY25P420,29-MAY-2025,OPTSTK,PE,420,0.05,
NFO,98895,1225,HINDZINC,HINDZINC29MAY25C420,29-MAY-2025,OPTSTK,CE,420,0.05,
NFO,98894,1225,HINDZINC,HINDZINC29MAY25P410,29-MAY-2025,OPTSTK,PE,410,0.05,
NFO,98893,1225,HINDZINC,HINDZINC29MAY25C410,29-MAY-2025,OPTSTK,CE,410,0.05,
NFO,98892,1225,HINDZINC,HINDZINC29MAY25P400,29-MAY-2025,OPTSTK,PE,400,0.05,
NFO,98891,1225,HINDZINC,HINDZINC29MAY25C400,29-MAY-2025,OPTSTK,CE,400,0.05,
NFO,98890,1225,HINDZINC,HINDZINC29MAY25P390,29-MAY-2025,OPTSTK,PE,390,0.05,
NFO,98889,1225,HINDZINC,HINDZINC29MAY25C390,29-MAY-2025,OPTSTK,CE,390,0.05,
NFO,98888,1225,HINDZINC,HINDZINC29MAY25P380,29-MAY-2025,OPTSTK,PE,380,0.05,
NFO,98887,1225,HINDZINC,HINDZINC29MAY25C380,29-MAY-2025,OPTSTK,CE,380,0.05,
NFO,98886,1225,HINDZINC,HINDZINC29MAY25P370,29-MAY-2025,OPTSTK,PE,370,0.05,
NFO,98885,1225,HINDZINC,HINDZINC29MAY25C370,29-MAY-2025,OPTSTK,CE,370,0.05,
NFO,98884,1225,HINDZINC,HINDZINC29MAY25P360,29-MAY-2025,OPTSTK,PE,360,0.05,
NFO,98883,1225,HINDZINC,HINDZINC29MAY25C360,29-MAY-2025,OPTSTK,CE,360,0.05,
NFO,98882,1225,HINDZINC,HINDZINC29MAY25P350,29-MAY-2025,OPTSTK,PE,350,0.05,
NFO,98881,1225,HINDZINC,HINDZINC29MAY25C350,29-MAY-2025,OPTSTK,CE,350,0.05,
NFO,98880,1225,HINDZINC,HINDZINC29MAY25P340,29-MAY-2025,OPTSTK,PE,340,0.05,
NFO,98879,1225,HINDZINC,HINDZINC29MAY25C340,29-MAY-2025,OPTSTK,CE,340,0.05,
NFO,98878,1225,HINDZINC,HINDZINC29MAY25P330,29-MAY-2025,OPTSTK,PE,330,0.05,
NFO,98877,1225,HINDZINC,HINDZINC29MAY25C330,29-MAY-2025,OPTSTK,CE,330,0.05,
NFO,98876,1225,HINDZINC,HINDZINC29MAY25P320,29-MAY-2025,OPTSTK,PE,320,0.05,
NFO,98875,1225,HINDZINC,HINDZINC29MAY25C320,29-MAY-2025,OPTSTK,CE,320,0.05,
NFO,98864,1225,HINDZINC,HINDZINC29MAY25P310,29-MAY-2025,OPTSTK,PE,310,0.05,
NFO,98863,1225,HINDZINC,HINDZINC29MAY25C310,29-MAY-2025,OPTSTK,CE,310,0.05,
NFO,98841,675,JSWSTEEL,JSWSTEEL29MAY25P800,29-MAY-2025,OPTSTK,PE,800,0.05,
NFO,98840,675,JSWSTEEL,JSWSTEEL29MAY25C800,29-MAY-2025,OPTSTK,CE,800,0.05,
NFO,98839,1225,HINDZINC,HINDZINC29MAY25P300,29-MAY-2025,OPTSTK,PE,300,0.05,
NFO,98838,1225,HINDZINC,HINDZINC29MAY25C300,29-MAY-2025,OPTSTK,CE,300,0.05,
NFO,98837,1225,HINDZINC,HINDZINC29MAY25P280,29-MAY-2025,OPTSTK,PE,280,0.05,
NFO,98836,1225,HINDZINC,HINDZINC29MAY25C280,29-MAY-2025,OPTSTK,CE,280,0.05,
NFO,98831,2925,CESC,CESC24APR25P210,24-APR-2025,OPTSTK,PE,210,0.05,
NFO,98830,2925,CESC,CESC24APR25C210,24-APR-2025,OPTSTK,CE,210,0.05,
NFO,98829,2925,CESC,CESC24APR25P200,24-APR-2025,OPTSTK,PE,200,0.05,
NFO,98828,2925,CESC,CESC24APR25C200,24-APR-2025,OPTSTK,CE,200,0.05,
NFO,98827,2925,CESC,CESC24APR25P190,24-APR-2025,OPTSTK,PE,190,0.05,
NFO,98826,2925,CESC,CESC24APR25C190,24-APR-2025,OPTSTK,CE,190,0.05,
NFO,98825,2925,CESC,CESC24APR25P180,24-APR-2025,OPTSTK,PE,180,0.05,
NFO,98824,2925,CESC,CESC24APR25C180,24-APR-2025,OPTSTK,CE,180,0.05,
NFO,98823,2925,CESC,CESC24APR25P170,24-APR-2025,OPTSTK,PE,170,0.05,
NFO,98822,2925,CESC,CESC24APR25C170,24-APR-2025,OPTSTK,CE,170,0.05,
NFO,98821,2925,CESC,CESC24APR25P160,24-APR-2025,OPTSTK,PE,160,0.05,
NFO,98820,2925,CESC,CESC24APR25C160,24-APR-2025,OPTSTK,CE,160,0.05,
NFO,98819,1225,HINDZINC,HINDZINC24APR25P620,24-APR-2025,OPTSTK,PE,620,0.05,
NFO,98818,1225,HINDZINC,HINDZINC24APR25C620,24-APR-2025,OPTSTK,CE,620,0.05,
NFO,98817,2925,CESC,CESC24APR25P150,24-APR-2025,OPTSTK,PE,150,0.05,
