
=== BACKTEST RESULTS (sorted by Win%) ===
+--------+----------+--------+-------+--------+
| Target | StopLoss | Trades | Win%  | P&L    |
| 2      | 18       | N/A    | N/A   | N/A    |
| 2      | 19       | 0      | N/A   | 0      |
| 2      | 21       | N/A    | N/A   | N/A    |
| 2      | 20       | 0      | N/A   | 0      |
| 2      | 22       | N/A    | N/A   | N/A    |
| 2      | 23       | N/A    | N/A   | N/A    |
| 2      | 24       | N/A    | N/A   | N/A    |
| 2      | 25       | N/A    | N/A   | N/A    |
| 2      | 26       | N/A    | N/A   | N/A    |
| 2      | 27       | N/A    | N/A   | N/A    |
| 2      | 28       | N/A    | N/A   | N/A    |
| 2      | 29       | 0      | N/A   | 0      |
| 3      | 5        | N/A    | N/A   | N/A    |
| 3      | 6        | N/A    | N/A   | N/A    |
| 3      | 7        | N/A    | N/A   | N/A    |
| 3      | 8        | N/A    | N/A   | N/A    |
| 3      | 9        | N/A    | N/A   | N/A    |
| 3      | 10       | N/A    | N/A   | N/A    |
| 3      | 11       | N/A    | N/A   | N/A    |
| 3      | 12       | N/A    | N/A   | N/A    |
| 3      | 14       | N/A    | N/A   | N/A    |
| 3      | 15       | N/A    | N/A   | N/A    |
| 3      | 22       | 0      | N/A   | 0      |
| 3      | 23       | N/A    | N/A   | N/A    |
| 3      | 24       | N/A    | N/A   | N/A    |
| 3      | 26       | N/A    | N/A   | N/A    |
| 3      | 27       | N/A    | N/A   | N/A    |
| 3      | 25       | 0      | N/A   | 0      |
| 3      | 28       | N/A    | N/A   | N/A    |
| 3      | 29       | N/A    | N/A   | N/A    |
| 4      | 5        | N/A    | N/A   | N/A    |
| 3      | 30       | N/A    | N/A   | N/A    |
| 4      | 7        | N/A    | N/A   | N/A    |
| 4      | 8        | N/A    | N/A   | N/A    |
| 4      | 9        | 0      | N/A   | 0      |
| 4      | 10       | N/A    | N/A   | N/A    |
| 4      | 11       | N/A    | N/A   | N/A    |
| 4      | 12       | N/A    | N/A   | N/A    |
| 4      | 13       | N/A    | N/A   | N/A    |
| 4      | 14       | N/A    | N/A   | N/A    |
| 4      | 15       | N/A    | N/A   | N/A    |
| 4      | 16       | N/A    | N/A   | N/A    |
| 4      | 17       | N/A    | N/A   | N/A    |
| 4      | 19       | 0      | N/A   | 0      |
| 4      | 20       | N/A    | N/A   | N/A    |
| 4      | 21       | N/A    | N/A   | N/A    |
| 4      | 22       | N/A    | N/A   | N/A    |
| 4      | 23       | N/A    | N/A   | N/A    |
| 4      | 24       | N/A    | N/A   | N/A    |
| 4      | 25       | N/A    | N/A   | N/A    |
| 4      | 26       | N/A    | N/A   | N/A    |
| 4      | 28       | N/A    | N/A   | N/A    |
| 4      | 27       | 0      | N/A   | 0      |
| 4      | 30       | N/A    | N/A   | N/A    |
| 5      | 5        | N/A    | N/A   | N/A    |
| 5      | 6        | N/A    | N/A   | N/A    |
| 5      | 7        | N/A    | N/A   | N/A    |
| 5      | 10       | N/A    | N/A   | N/A    |
| 5      | 12       | N/A    | N/A   | N/A    |
| 5      | 13       | N/A    | N/A   | N/A    |
| 5      | 18       | N/A    | N/A   | N/A    |
| 5      | 19       | N/A    | N/A   | N/A    |
| 5      | 20       | 0      | N/A   | 0      |
| 5      | 21       | N/A    | N/A   | N/A    |
| 5      | 22       | N/A    | N/A   | N/A    |
| 5      | 23       | N/A    | N/A   | N/A    |
| 5      | 24       | N/A    | N/A   | N/A    |
| 5      | 25       | N/A    | N/A   | N/A    |
| 5      | 26       | N/A    | N/A   | N/A    |
| 5      | 27       | N/A    | N/A   | N/A    |
| 5      | 28       | N/A    | N/A   | N/A    |
| 5      | 29       | N/A    | N/A   | N/A    |
| 6      | 5        | N/A    | N/A   | N/A    |
| 6      | 6        | 0      | N/A   | 0      |
| 6      | 7        | N/A    | N/A   | N/A    |
| 6      | 8        | N/A    | N/A   | N/A    |
| 6      | 9        | N/A    | N/A   | N/A    |
| 6      | 10       | N/A    | N/A   | N/A    |
| 6      | 11       | N/A    | N/A   | N/A    |
| 6      | 14       | N/A    | N/A   | N/A    |
| 6      | 16       | 0      | N/A   | 0      |
| 6      | 20       | N/A    | N/A   | N/A    |
| 6      | 18       | 0      | N/A   | 0      |
| 6      | 22       | N/A    | N/A   | N/A    |
| 6      | 23       | N/A    | N/A   | N/A    |
| 6      | 24       | N/A    | N/A   | N/A    |
| 6      | 19       | 0      | N/A   | 0      |
| 6      | 25       | N/A    | N/A   | N/A    |
| 6      | 27       | N/A    | N/A   | N/A    |
| 7      | 5        | N/A    | N/A   | N/A    |
| 7      | 6        | N/A    | N/A   | N/A    |
| 7      | 7        | N/A    | N/A   | N/A    |
| 7      | 10       | N/A    | N/A   | N/A    |
| 7      | 11       | N/A    | N/A   | N/A    |
| 7      | 12       | N/A    | N/A   | N/A    |
| 7      | 13       | N/A    | N/A   | N/A    |
| 7      | 15       | N/A    | N/A   | N/A    |
| 7      | 14       | N/A    | N/A   | N/A    |
| 7      | 18       | N/A    | N/A   | N/A    |
| 7      | 19       | N/A    | N/A   | N/A    |
| 7      | 20       | N/A    | N/A   | N/A    |
| 7      | 22       | N/A    | N/A   | N/A    |
| 7      | 23       | N/A    | N/A   | N/A    |
| 7      | 24       | N/A    | N/A   | N/A    |
| 7      | 26       | N/A    | N/A   | N/A    |
| 7      | 27       | N/A    | N/A   | N/A    |
| 7      | 28       | N/A    | N/A   | N/A    |
| 7      | 29       | N/A    | N/A   | N/A    |
| 8      | 5        | N/A    | N/A   | N/A    |
| 8      | 9        | N/A    | N/A   | N/A    |
| 8      | 10       | N/A    | N/A   | N/A    |
| 8      | 11       | N/A    | N/A   | N/A    |
| 8      | 14       | N/A    | N/A   | N/A    |
| 8      | 15       | N/A    | N/A   | N/A    |
| 8      | 16       | N/A    | N/A   | N/A    |
| 8      | 17       | N/A    | N/A   | N/A    |
| 8      | 18       | N/A    | N/A   | N/A    |
| 8      | 19       | N/A    | N/A   | N/A    |
| 8      | 22       | N/A    | N/A   | N/A    |
| 8      | 23       | N/A    | N/A   | N/A    |
| 8      | 24       | N/A    | N/A   | N/A    |
| 8      | 26       | N/A    | N/A   | N/A    |
| 8      | 27       | N/A    | N/A   | N/A    |
| 8      | 28       | N/A    | N/A   | N/A    |
| 8      | 30       | N/A    | N/A   | N/A    |
| 9      | 5        | N/A    | N/A   | N/A    |
| 9      | 6        | N/A    | N/A   | N/A    |
| 9      | 7        | N/A    | N/A   | N/A    |
| 9      | 9        | N/A    | N/A   | N/A    |
| 9      | 13       | N/A    | N/A   | N/A    |
| 9      | 14       | N/A    | N/A   | N/A    |
| 9      | 15       | N/A    | N/A   | N/A    |
| 9      | 17       | 0      | N/A   | 0      |
| 9      | 18       | N/A    | N/A   | N/A    |
