token,ltp,ltt
71971,56.65,1755834318
71971,56.35,1755834318
71990,77.8,1755834318
71987,111.35,1755834318
71989,136.8,1755834318
71988,98.4,1755834318
71975,90.2,1755834319
72040,25.4,1755834319
71989,136.7,1755834319
71988,97.9,1755834319
72038,33.75,1755834319
71973,71.5,1755834319
71992,58.75,1755834319
71969,44.55,1755834319
71975,89.2,1755834319
72040,24.95,1755834319
72036,45.4,1755834319
71971,55.7,1755834319
71990,76.65,1755834319
71987,110.55,1755834319
71989,136.05,1755834319
71988,97.6,1755834319
72038,33.65,1755834319
71973,71.7,1755834319
71992,59.7,1755834319
71969,43.8,1755834319
71987,110.6,1755834319
71990,77.05,1755834320
72036,45.05,1755834320
71971,56.2,1755834320
71975,89.15,1755834320
72040,25.2,1755834320
72038,33.7,1755834320
71973,70.8,1755834320
71992,59.1,1755834320
71969,44.25,1755834320
72036,44.65,1755834320
71971,56.15,1755834320
71990,76.3,1755834320
71989,136.5,1755834320
71988,97,1755834320
71989,135.9,1755834320
71988,96.95,1755834320
71975,89.7,1755834321
72040,24.6,1755834321
72038,33.1,1755834321
71973,71.15,1755834321
71992,58.25,1755834321
71969,44.15,1755834321
72038,32.95,1755834321
71992,58.15,1755834321
71987,111.35,1755834321
72036,43.8,1755834321
71971,56.05,1755834321
71990,75.3,1755834321
71973,71.1,1755834321
71990,75.45,1755834321
71987,110.85,1755834321
71989,136.5,1755834321
71988,96.25,1755834321
72036,44.3,1755834321
71971,55.35,1755834321
71975,88.1,1755834322
72040,24.4,1755834322
72038,32.7,1755834322
71973,70.25,1755834322
71989,135.25,1755834322
71988,95.6,1755834322
71992,57.55,1755834322
71969,43.1,1755834322
72036,43.4,1755834322
71971,55.2,1755834322
71990,74.6,1755834322
71987,109.95,1755834322
71989,135.5,1755834322
71988,95.3,1755834322
71975,88.7,1755834322
72040,24.1,1755834322
71975,88.75,1755834323
72040,24.2,1755834323
71992,57.2,1755834323
71987,110.85,1755834323
72038,32.55,1755834323
71973,70.7,1755834323
72038,32.3,1755834323
71973,71.1,1755834323
71969,44.2,1755834323
71990,74,1755834323
72036,43.35,1755834323
71971,55.85,1755834323
71992,57.6,1755834323
72036,43.7,1755834323
71971,55.45,1755834323
71990,75.15,1755834323
71987,110.75,1755834323
71989,136.7,1755834323
71989,137.2,1755834323
71975,89.2,1755834324
72040,24.4,1755834324
72038,32.55,1755834324
71973,71.5,1755834324
71992,57.5,1755834324
71975,89.85,1755834324
72040,24.1,1755834324
72036,43.45,1755834324
71971,56.35,1755834324
71990,74.45,1755834324
71987,111.45,1755834324
71989,137.15,1755834324
71988,95.1,1755834324
71973,71.15,1755834324
71992,57.25,1755834324
71969,44.15,1755834324
71987,111.85,1755834324
71990,74.1,1755834325
72036,43.05,1755834325
71971,56.1,1755834325
71975,89.35,1755834325
72040,23.95,1755834325
72038,32.25,1755834325
71973,71.1,1755834325
71992,56.65,1755834325
71969,43.8,1755834325
71989,137.65,1755834325
71988,94.35,1755834325
72036,42.85,1755834325
71990,73.9,1755834325
71987,111.9,1755834325
71989,137.45,1755834325
71988,94.15,1755834325
71975,88.85,1755834326
71973,70.65,1755834326
72040,23.8,1755834326
71992,57.05,1755834326
71969,43.3,1755834326
72038,32.2,1755834326
71992,56.8,1755834326
71987,110.35,1755834326
72036,43.15,1755834326
71971,55.15,1755834326
71990,74.2,1755834326
71973,70.2,1755834326
71990,74.05,1755834326
71987,110.05,1755834326
71969,43.2,1755834326
71988,94.6,1755834326
71989,136.05,1755834326
72036,43.35,1755834326
71971,54.75,1755834326
72040,24.2,1755834327
71989,134.65,1755834327
71988,95.15,1755834327
72038,32.45,1755834327
71973,69.45,1755834327
71975,87.5,1755834327
71992,57.2,1755834327
71969,42.7,1755834327
72036,43.6,1755834327
71971,54.4,1755834327
71990,74.85,1755834327
71987,109.25,1755834327
71989,134.9,1755834327
71988,95.35,1755834327
71975,87.55,1755834327
72040,24,1755834327
71975,87,1755834328
71992,57.3,1755834328
71987,109,1755834328
72038,32.25,1755834328
71973,69.2,1755834328
72038,32.2,1755834328
71973,69.35,1755834328
71992,56.95,1755834328
71990,74.3,1755834328
72036,43.25,1755834328
71971,54.7,1755834328
72036,43.15,1755834328
71971,54.45,1755834328
71990,74.35,1755834328
71987,109.2,1755834328
71989,134.95,1755834328
71988,94.95,1755834328
71989,135,1755834328
71975,87.9,1755834329
72040,23.65,1755834329
72038,31.85,1755834329
71973,69.55,1755834329
71969,42.8,1755834329
71992,56.4,1755834329
71975,87.4,1755834329
72040,23.75,1755834329
72036,42.85,1755834329
71990,73.7,1755834329
71987,109.35,1755834329
71989,135.2,1755834329
71988,93.75,1755834329
72038,31.8,1755834329
71973,69.6,1755834329
71992,56.3,1755834329
71969,43.05,1755834329
71987,109.3,1755834329
71990,73.35,1755834330
72036,42.7,1755834330
71971,54.4,1755834330
71975,87.5,1755834330
72040,23.7,1755834330
72038,31.95,1755834330
71973,69.55,1755834330
71988,94.35,1755834330
71992,56.55,1755834330
71969,42.95,1755834330
72036,42.75,1755834330
71971,55.05,1755834330
71990,73.65,1755834330
71987,109.35,1755834330
71989,135,1755834330
71988,95.25,1755834330
71975,86.85,1755834331
72040,23.75,1755834331
72038,32.15,1755834331
71973,68.65,1755834331
72040,23.8,1755834331
71992,56.3,1755834331
72038,32,1755834331
71992,56.45,1755834331
71969,42.3,1755834331
71987,108.25,1755834331
72036,42.8,1755834331
71971,54,1755834331
71990,73.9,1755834331
71973,68.6,1755834331
71990,74,1755834331
72036,43.05,1755834331
71987,108.2,1755834331
71989,133.85,1755834331
71988,94.45,1755834331
71969,42.2,1755834331
71971,53.75,1755834331
71989,133.75,1755834331
71988,94.7,1755834331
71975,86.25,1755834332
72040,23.85,1755834332
72038,32.05,1755834332
71973,68.1,1755834332
71969,41.7,1755834332
71992,56.7,1755834332
72036,42.85,1755834332
71971,53.45,1755834332
71987,107.6,1755834332
71988,94.6,1755834332
71989,132.85,1755834332
71975,86.05,1755834332
72040,23.75,1755834332
71975,85.65,1755834333
72040,23.6,1755834333
71992,56.4,1755834333
71987,107.35,1755834333
72038,31.75,1755834333
71973,67.6,1755834333
72038,31.65,1755834333
71973,67.8,1755834333
71969,41.6,1755834333
71992,56.75,1755834333
71969,41.55,1755834333
71990,74.2,1755834333
72036,42.95,1755834333
71971,53.05,1755834333
71989,132.5,1755834333
71988,94.65,1755834333
72036,42.9,1755834333
71971,52.95,1755834333
71990,74.1,1755834333
71987,106.9,1755834333
71989,132.45,1755834333
71988,95,1755834333
71975,85,1755834334
72040,24.25,1755834334
72038,32.7,1755834334
71973,67.15,1755834334
71992,57.75,1755834334
71969,41.4,1755834334
71975,84.8,1755834334
72040,24.35,1755834334
72036,44,1755834334
71971,52.9,1755834334
71990,75.65,1755834334
71987,106.15,1755834334
71988,96.8,1755834334
71989,130.95,1755834334
71973,67.45,1755834334
72038,32.5,1755834334
71992,57.55,1755834334
71969,41.8,1755834334
71987,106.75,1755834334
71990,74.5,1755834335
72036,43.2,1755834335
71971,53.65,1755834335
71975,85.8,1755834335
72040,23.9,1755834335
71989,132.4,1755834335
71988,95.15,1755834335
72038,32,1755834335
71973,68.2,1755834335
71992,56.55,1755834335
71969,42.15,1755834335
72036,42.6,1755834335
71971,53.5,1755834335
71990,73.85,1755834335
71989,132.25,1755834335
71988,94.65,1755834335
71975,85.75,1755834336
72040,23.3,1755834336
71975,85.95,1755834336
72040,23.35,1755834336
72038,31.65,1755834336
71973,67.95,1755834336
71992,56.2,1755834336
71969,41.85,1755834336
