ltp,ltt
22954.25,1738042465
22955.70,1738042465
22953.40,1738042466
22953.30,1738042466
22953.70,1738042467
22953.95,1738042467
22956.30,1738042468
22955.15,1738042468
22957.25,1738042469
22957.10,1738042469
22954.60,1738042470
22958.15,1738042471
22955.85,1738042471
22955.70,1738042472
22954.85,1738042472
22954.70,1738042473
22955.35,1738042473
22956.15,1738042474
22958.65,1738042474
22959.25,1738042475
22963.05,1738042475
22961.80,1738042476
22963.90,1738042476
22964.60,1738042477
22965.15,1738042477
22963.70,1738042478
22964.50,1738042478
22963.95,1738042479
22963.50,1738042479
22964.35,1738042480
22964.60,1738042480
22967.10,1738042481
22966.85,1738042481
22968.10,1738042482
22969.05,1738042482
22967.60,1738042483
22967.05,1738042483
22967.75,1738042484
22966.00,1738042484
22965.70,1738042485
22967.95,1738042485
22969.90,1738042486
22967.00,1738042486
22967.90,1738042487
22968.25,1738042487
22967.55,1738042488
22968.65,1738042488
22969.20,1738042489
22968.65,1738042489
22966.95,1738042490
22966.75,1738042490
22968.95,1738042491
22969.50,1738042491
22969.95,1738042492
22968.55,1738042492
22969.55,1738042493
22969.75,1738042493
22970.30,1738042494
22971.05,1738042494
22972.30,1738042495
22973.45,1738042496
22971.85,1738042496
22973.15,1738042497
22972.35,1738042497
22971.55,1738042498
22972.25,1738042498
22971.40,1738042499
22972.70,1738042499
22973.30,1738042500
22975.15,1738042500
22972.15,1738042501
22973.55,1738042501
22974.65,1738042502
22975.50,1738042502
22975.10,1738042503
22975.05,1738042503
22975.45,1738042504
22976.50,1738042504
22976.30,1738042505
22975.85,1738042505
22978.30,1738042506
22978.95,1738042506
22979.50,1738042507
22977.30,1738042507
22977.95,1738042508
22976.75,1738042508
22977.90,1738042509
22977.20,1738042509
22977.25,1738042510
22976.25,1738042510
22977.35,1738042511
22979.40,1738042511
22979.45,1738042512
22977.80,1738042512
22980.35,1738042513
22981.05,1738042513
22980.10,1738042514
22981.10,1738042514
22980.30,1738042515
22978.15,1738042515
22977.45,1738042516
22978.35,1738042516
22977.70,1738042517
22975.55,1738042517
22975.45,1738042518
22974.70,1738042518
22974.80,1738042519
22974.20,1738042519
22974.45,1738042520
22974.50,1738042520
22973.55,1738042521
22973.65,1738042521
22973.10,1738042522
22972.75,1738042522
22971.50,1738042523
22971.05,1738042523
22971.90,1738042524
22971.55,1738042524
22972.65,1738042525
22971.55,1738042525
22971.50,1738042526
22971.10,1738042526
22970.60,1738042527
22971.25,1738042527
22970.95,1738042528
22970.15,1738042528
22970.50,1738042529
22969.35,1738042529
22968.65,1738042530
22968.70,1738042530
22968.90,1738042531
22968.50,1738042531
22968.40,1738042532
22968.80,1738042532
22968.65,1738042533
22968.55,1738042533
22969.25,1738042534
22968.80,1738042534
22968.45,1738042535
22969.95,1738042535
22969.45,1738042536
22971.15,1738042536
22970.40,1738042537
22971.85,1738042537
22971.00,1738042538
22972.35,1738042538
22971.55,1738042539
22972.95,1738042539
22971.90,1738042540
22971.65,1738042540
22972.10,1738042541
22970.55,1738042541
22971.30,1738042542
22970.50,1738042543
22971.50,1738042544
22971.70,1738042544
22972.30,1738042545
22972.15,1738042545
22971.65,1738042546
22970.30,1738042546
22971.35,1738042547
22970.90,1738042547
22970.85,1738042548
22970.40,1738042548
22971.25,1738042549
22970.85,1738042549
22970.50,1738042550
22970.35,1738042550
22971.75,1738042551
22970.90,1738042551
22972.00,1738042552
22971.40,1738042552
22971.20,1738042553
22971.45,1738042553
22971.60,1738042554
22970.10,1738042554
22969.70,1738042555
22973.65,1738042555
22973.40,1738042556
22973.35,1738042556
22973.55,1738042557
22972.20,1738042557
22971.00,1738042558
22972.90,1738042559
22973.35,1738042559
22976.05,1738042560
22974.00,1738042560
22973.95,1738042561
22973.30,1738042561
22972.45,1738042562
22971.50,1738042562
22972.55,1738042563
22971.85,1738042563
22971.60,1738042564
22971.25,1738042564
22971.20,1738042565
22970.90,1738042565
22971.00,1738042566
22971.25,1738042566
22970.40,1738042567
22969.65,1738042567
22970.70,1738042568
22969.40,1738042568
22970.35,1738042569
22971.30,1738042569
22971.65,1738042570
22971.60,1738042570
22971.00,1738042571
22971.15,1738042571
22969.35,1738042572
22970.25,1738042572
22970.30,1738042573
22970.35,1738042573
