indicator,good,bad,oscillating,total,success_rate,interval_label
Bollinger_10_1.5__AND__ADX_20,2,3,0,5,40,5min
Bollinger_15_1__AND__EMA_27_63,2,3,0,5,40,5min
Bollinger_25_1__AND__EMA_9_21,4,6,1,10,40,5min
EMA_9_21__AND__RSI_5_90_10_REV,2,3,0,5,40,5min
EMA_12_28__AND__EMA_30_70,2,3,1,5,40,5min
EMA_24_56__AND__RSI_5_80_20_REV,2,3,0,5,40,5min
EMA_27_63__AND__RSI_5_70_30_REV,2,3,0,5,40,5min
EMA_27_63__AND__RSI_5_80_20_REV,2,3,0,5,40,5min
EMA_27_63__AND__RSI_10_70_30_REV,2,3,0,5,40,5min
MACD_12_24_9__AND__ADX_20,7,11,1,18,38.89,5min
MACD_16_32_12__AND__Bollinger_20_1,5,8,1,13,38.46,5min
EMA_5_13__AND__ADX_14,10,16,0,26,38.46,5min
MACD_8_16_6__AND__ADX_20,6,10,1,16,37.5,5min
MACD_12_24_9__AND__RSI_5_90_10_REV,3,5,0,8,37.5,5min
MACD_4_8_3__AND__MACD_8_16_6,14,24,0,38,36.84,5min
MACD_12_26_9__AND__Bollinger_25_1,7,12,1,19,36.84,5min
MACD_12_26_9__AND__EMA_5_13,7,12,0,19,36.84,5min
MACD_4_8_3__AND__MACD_20_40_15,4,7,0,11,36.36,5min
MACD_12_24_9__AND__EMA_5_13,8,14,0,22,36.36,5min
MACD_12_26_9__AND__ADX_14,8,14,1,22,36.36,5min
Bollinger_25_1__AND__Bollinger_30_1,8,14,1,22,36.36,5min
RSI_10_70_30_REV__AND__RSI_14_70_30_REV,4,7,1,11,36.36,5min
RSI_5_90_10_REV,5,9,0,14,35.71,5min
RSI_14_70_30_REV,5,9,1,14,35.71,5min
RSI_5_70_30_REV__AND__RSI_5_90_10_REV,5,9,0,14,35.71,5min
RSI_5_80_20_REV__AND__RSI_5_90_10_REV,5,9,0,14,35.71,5min
MACD_8_16_6__AND__Bollinger_30_1,7,13,1,20,35,5min
MACD_12_24_9__AND__Bollinger_25_1,7,13,1,20,35,5min
MACD_8_16_6__AND__Bollinger_25_1,8,15,1,23,34.78,5min
MACD_12_24_9__AND__ADX_14,8,15,1,23,34.78,5min
Bollinger_25_1,9,17,1,26,34.62,5min
MACD_4_8_3__AND__MACD_12_26_9,9,17,0,26,34.62,5min
MACD_4_8_3__AND__MACD_12_24_9,10,19,0,29,34.48,5min
MACD_24_48_18,3,6,1,9,33.33,5min
Bollinger_30_1,8,16,1,24,33.33,5min
RSI_15_80_20_REV,1,2,1,3,33.33,5min
RSI_10_70_30__AND__MACD_4_8_3,1,2,1,3,33.33,5min
MACD_4_8_3__AND__EMA_12_28,7,14,0,21,33.33,5min
MACD_4_8_3__AND__EMA_15_35,6,12,0,18,33.33,5min
MACD_4_8_3__AND__RSI_14_80_20_REV,1,2,0,3,33.33,5min
MACD_8_16_6__AND__RSI_15_80_20_REV,1,2,1,3,33.33,5min
MACD_12_24_9__AND__Bollinger_20_2,2,4,0,6,33.33,5min
MACD_12_24_9__AND__RSI_15_80_20_REV,1,2,1,3,33.33,5min
MACD_12_26_9__AND__Bollinger_20_2,2,4,0,6,33.33,5min
MACD_12_26_9__AND__Bollinger_30_1,7,14,1,21,33.33,5min
MACD_12_26_9__AND__RSI_5_90_10_REV,2,4,0,6,33.33,5min
MACD_12_26_9__AND__RSI_15_80_20_REV,1,2,1,3,33.33,5min
MACD_16_32_12__AND__Bollinger_20_2,2,4,0,6,33.33,5min
MACD_16_32_12__AND__RSI_15_80_20_REV,1,2,1,3,33.33,5min
MACD_20_40_15__AND__MACD_24_48_18,3,6,1,9,33.33,5min
MACD_20_40_15__AND__Bollinger_10_1.5,2,4,0,6,33.33,5min
MACD_20_40_15__AND__Bollinger_20_2,2,4,0,6,33.33,5min
MACD_20_40_15__AND__RSI_15_80_20_REV,1,2,1,3,33.33,5min
MACD_24_48_18__AND__Bollinger_10_1.5,1,2,0,3,33.33,5min
MACD_24_48_18__AND__Bollinger_15_2,1,2,0,3,33.33,5min
MACD_24_48_18__AND__Bollinger_20_2,1,2,0,3,33.33,5min
MACD_24_48_18__AND__EMA_9_21,1,2,1,3,33.33,5min
MACD_24_48_18__AND__EMA_21_49,2,4,1,6,33.33,5min
MACD_24_48_18__AND__RSI_5_90_10_REV,1,2,0,3,33.33,5min
MACD_24_48_18__AND__RSI_15_80_20_REV,1,2,1,3,33.33,5min
Bollinger_5_1__AND__EMA_18_42,1,2,0,3,33.33,5min
Bollinger_5_1__AND__EMA_27_63,1,2,1,3,33.33,5min
Bollinger_10_1__AND__EMA_18_42,3,6,0,9,33.33,5min
Bollinger_10_1__AND__RSI_5_90_10_REV,4,8,0,12,33.33,5min
Bollinger_10_1__AND__RSI_15_80_20_REV,1,2,0,3,33.33,5min
Bollinger_10_1.5__AND__EMA_12_28,2,4,0,6,33.33,5min
Bollinger_10_1.5__AND__EMA_21_49,1,2,0,3,33.33,5min
Bollinger_15_1__AND__EMA_9_21,4,8,1,12,33.33,5min
Bollinger_15_1__AND__RSI_15_80_20_REV,1,2,1,3,33.33,5min
Bollinger_15_1.5__AND__EMA_27_63,1,2,0,3,33.33,5min
Bollinger_15_1.5__AND__RSI_14_80_20_REV,1,2,0,3,33.33,5min
Bollinger_15_1.5__AND__RSI_20_70_30_REV,1,2,0,3,33.33,5min
Bollinger_15_2__AND__EMA_27_63,1,2,0,3,33.33,5min
Bollinger_15_2__AND__ADX_20,1,2,0,3,33.33,5min
Bollinger_20_1__AND__EMA_21_49,2,4,1,6,33.33,5min
Bollinger_20_1__AND__RSI_15_80_20_REV,1,2,1,3,33.33,5min
